,LON,LAT
well_1,-118.581377,34.449444
well_2,-118.580247,34.446324
well_3,-118.58844,34.449819
well_4,-118.582956,34.448307
well_5,-118.586379,34.448292
well_6,-118.59382,34.450085
well_7,-118.59545,34.447737
well_8,-118.598537,34.450299
well_9,-118.582437,34.446484
well_10,-118.580867,34.448309
well_11,-118.585695,34.446812
well_12,-118.585573,34.446122
well_13,-118.590371,34.44754
well_14,-118.586058,34.448601
well_15,-118.598923,34.450553
well_16,-118.598636,34.450905
well_17,-118.601874,34.451046
well_18,-118.600909,34.450888
well_19,-118.588946,34.44729
well_20,-118.587664,34.445225
well_21,-118.595141,34.445722
