,5th_strain_casing,16th_strain_casing,50th_strain_casing,84th_strain_casing,95th_strain_casing,mean_strain_casing,5th_strain_tubing,16th_strain_tubing,50th_strain_tubing,84th_strain_tubing,95th_strain_tubing,mean_strain_tubing
well_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-10,1.311e-09,2.443e-09,7.017e-10
well_2,0.0,0.0,0.0,2.671e-10,3.239e-10,1.377e-10,0.0,0.0,9.161e-10,7.598e-09,1.402e-08,4.332e-09
well_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.195e-10,2.013e-09,3.827e-09,1.113e-09
well_4,0.0,0.0,0.0,1.41e-10,1.733e-10,0.0,0.0,0.0,6.613e-10,5.43e-09,1.007e-08,3.075e-09
well_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45e-10,2.206e-09,4.17e-09,1.22e-09
well_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541e-10,1.49e-09,2.803e-09,8.098e-10
well_7,0.0,0.0,0.0,2.017e-10,2.461e-10,1.042e-10,0.0,0.0,8.113e-10,6.519e-09,1.211e-08,3.723e-09
well_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.547e-10,2.289e-09,4.316e-09,1.266e-09
well_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-10,1.311e-09,2.443e-09,7.017e-10
well_10,0.0,0.0,1.478e-08,8.121e-08,9.555e-08,4.193e-08,0.0,0.0,2.69e-07,1.48e-06,2.632e-06,9.289e-07
well_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05e-10,1.842e-09,3.494e-09,1.019e-09
well_12,0.0,0.0,0.0,1.755e-10,2.148e-10,0.0,0.0,0.0,7.641e-10,6.082e-09,1.127e-08,3.456e-09
well_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45e-10,2.206e-09,4.17e-09,1.22e-09
well_14,0.0,0.0,1.951e-06,1.588e-05,1.762e-05,8.716e-06,0.0,0.0,1.922e-06,2.435e-05,0.0002094,3.592e-05
well_15,0.0,0.0,0.0,2.35e-10,2.858e-10,1.213e-10,0.0,0.0,8.494e-10,7.084e-09,1.311e-08,4.043e-09
well_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.401e-10,2.164e-09,4.096e-09,1.197e-09
well_17,0.0,0.0,0.0,1.098e-10,1.354e-10,0.0,0.0,0.0,5.779e-10,4.784e-09,8.871e-09,2.694e-09
well_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45e-10,2.206e-09,4.17e-09,1.22e-09
well_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.817e-10,1.664e-09,3.157e-09,9.168e-10
well_20,0.0,0.0,0.0,2.122e-10,2.587e-10,1.096e-10,0.0,0.0,8.223e-10,6.702e-09,1.244e-08,3.827e-09
well_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.365e-10,2.133e-09,4.042e-09,1.18e-09
