,5th_moment_conductor,16th_moment_conductor,50th_moment_conductor,84th_moment_conductor,95th_moment_conductor,mean_moment_conductor,5th_moment_surface,16th_moment_surface,50th_moment_surface,84th_moment_surface,95th_moment_surface,mean_moment_surface,5th_moment_production,16th_moment_production,50th_moment_production,84th_moment_production,95th_moment_production,mean_moment_production,5th_moment_tubing,16th_moment_tubing,50th_moment_tubing,84th_moment_tubing,95th_moment_tubing,mean_moment_tubing
well_1,0.0,0.0,4.303e-05,0.0001822,0.0004285,0.0001066,0.0,0.0,4.148e-06,1.581e-05,4.368e-05,1.072e-05,0.0,0.0,7.05e-07,2.398e-06,7.32e-06,1.825e-06,0.0,0.0007232,0.003446,0.008841,0.01394,0.00483
well_2,0.0,0.0,4.263e-05,0.0001773,0.0004011,0.0001014,0.0,0.0,1.118e-05,4.667e-05,0.0001149,2.855e-05,0.0,0.0,1.967e-07,7.29e-07,2.098e-06,5.366e-07,0.0,0.001021,0.005415,0.01418,0.02207,0.007634
well_3,0.0,2.639e-08,4.23e-05,0.0001748,0.0003902,0.0001009,0.0,0.0,4.074e-06,1.598e-05,4.23e-05,1.037e-05,0.0,0.0,7.106e-07,2.433e-06,7.096e-06,1.785e-06,0.0,0.0006784,0.003152,0.007941,0.01247,0.004359
well_4,0.0,0.0,4.267e-05,0.0001806,0.0004247,0.0001056,0.0,0.0,4.014e-06,1.545e-05,4.23e-05,1.039e-05,0.0,0.0,6.896e-07,2.299e-06,7.031e-06,1.753e-06,0.0,0.0007223,0.003447,0.008844,0.01394,0.004828
well_5,0.0,2.233e-07,4.289e-05,0.0001756,0.0003904,0.000101,0.0,0.0,1.195e-05,4.817e-05,0.0001171,2.962e-05,0.0,0.0,2.312e-07,8.062e-07,2.383e-06,6.039e-07,0.0,0.0009683,0.004944,0.01272,0.01978,0.006885
well_6,0.0,0.0,4.254e-05,0.0001775,0.0004019,0.0001033,0.0,0.0,1.203e-05,4.891e-05,0.0001216,3.046e-05,0.0,0.0,2.352e-07,8.335e-07,2.517e-06,6.402e-07,0.0,0.0009659,0.00496,0.01274,0.01981,0.006892
well_7,0.0,0.0,4.462e-05,0.0001929,0.0004469,0.0001129,0.0,0.0,1.242e-05,5.263e-05,0.0001336,3.319e-05,0.0,0.0,2.196e-07,8.998e-07,2.603e-06,6.843e-07,0.0,0.001045,0.005403,0.01402,0.02183,0.007568
well_8,0.0,0.0,4.401e-05,0.0001899,0.0004321,0.0001092,0.0,0.0,4.23e-06,1.677e-05,4.55e-05,1.113e-05,0.0,0.0,7.25e-07,2.489e-06,7.583e-06,1.884e-06,0.0,0.0007277,0.003446,0.008744,0.01375,0.004791
well_9,0.0,0.0,4.281e-05,0.0001809,0.0004163,0.0001043,0.0,0.0,1.143e-05,4.81e-05,0.0001206,2.979e-05,0.0,0.0,1.978e-07,7.654e-07,2.26e-06,5.73e-07,0.0,0.00102,0.005432,0.01422,0.02215,0.007662
well_10,0.0,0.0,4.292e-05,0.0001788,0.0004061,0.0001025,0.0,0.0,1.127e-05,4.754e-05,0.0001183,2.927e-05,0.0,0.0,1.976e-07,7.369e-07,2.148e-06,5.481e-07,0.0,0.001019,0.00542,0.0142,0.02211,0.007646
well_11,0.0,3.187e-08,4.267e-05,0.0001765,0.0003944,0.000102,0.0,0.0,1.198e-05,4.833e-05,0.000118,2.983e-05,0.0,0.0,2.332e-07,8.111e-07,2.44e-06,6.194e-07,0.0,0.0009685,0.004952,0.01273,0.0198,0.00689
well_12,0.0,0.0,3.275e-05,0.0001344,0.0003051,7.819e-05,0.0,0.0,8.108e-06,3.348e-05,8.259e-05,2.074e-05,0.0,0.0,1.372e-06,4.773e-06,1.334e-05,3.394e-06,0.0,0.000332,0.001842,0.005031,0.008028,0.002713
well_13,0.0,0.0,3.285e-05,0.0001351,0.0003083,7.9e-05,0.0,0.0,8.151e-06,3.372e-05,8.399e-05,2.104e-05,0.0,0.0,1.393e-06,4.823e-06,1.365e-05,3.463e-06,0.0,0.0003322,0.001843,0.005024,0.008016,0.00271
well_14,0.0,0.0,3.298e-05,0.0001356,0.000313,8.009e-05,0.0,0.0,8.2e-06,3.401e-05,8.622e-05,2.15e-05,0.0,0.0,1.39e-06,4.887e-06,1.41e-05,3.572e-06,0.0,0.0003313,0.00184,0.005035,0.008041,0.002716
well_15,0.0,0.0,3.418e-05,0.000143,0.0003313,8.297e-05,0.0,0.0,8.291e-06,3.489e-05,8.838e-05,2.172e-05,0.0,0.0,1.353e-06,4.771e-06,1.381e-05,3.461e-06,0.0,0.0003422,0.001989,0.005528,0.008856,0.002972
well_16,0.0,0.0,3.474e-05,0.0001456,0.0003375,8.459e-05,0.0,0.0,8.439e-06,3.559e-05,9.062e-05,2.226e-05,0.0,0.0,1.403e-06,4.883e-06,1.421e-05,3.569e-06,0.0,0.000342,0.001992,0.005527,0.008843,0.00297
well_17,0.0,0.0,3.456e-05,0.0001447,0.0003383,8.47e-05,0.0,0.0,8.405e-06,3.525e-05,9.141e-05,2.236e-05,0.0,0.0,1.367e-06,4.849e-06,1.432e-05,3.607e-06,0.0,0.0003425,0.00199,0.00553,0.008855,0.002973
well_18,0.0,0.0,3.459e-05,0.000145,0.0003436,8.599e-05,0.0,0.0,8.523e-06,3.558e-05,9.352e-05,2.282e-05,0.0,0.0,1.404e-06,4.983e-06,1.468e-05,3.709e-06,0.0,0.0003411,0.001988,0.005522,0.008839,0.002968
well_19,0.0,0.0,3.282e-05,0.0001347,0.0003062,7.846e-05,0.0,0.0,8.126e-06,3.36e-05,8.323e-05,2.088e-05,0.0,0.0,1.375e-06,4.799e-06,1.347e-05,3.427e-06,0.0,0.0003323,0.001845,0.005039,0.008043,0.002718
well_20,0.0,0.0,4.241e-05,0.0001776,0.0004047,0.0001036,0.0,0.0,1.201e-05,4.904e-05,0.0001223,3.058e-05,0.0,0.0,2.393e-07,8.383e-07,2.538e-06,6.464e-07,0.0,0.0009687,0.004949,0.01273,0.01979,0.006888
well_21,0.0,0.0,4.427e-05,0.0001913,0.00044,0.0001112,0.0,0.0,4.277e-06,1.685e-05,4.623e-05,1.128e-05,0.0,0.0,7.308e-07,2.52e-06,7.733e-06,1.921e-06,0.0,0.0007288,0.00344,0.008728,0.01373,0.004784
