Name,Description,From Model,Source,Distribution Type,Mean or Median,Sigma,CoV,Distribution Min,Distribution Max
theta,fault angle,,Preferred,,,,,,
w_fc,fault core width,,Preferred,,,,,,
w_dz,damage zone width,,Preferred,,,,,,
z_crossing,fault depth,,Preferred,,,,,,
e_rock,Young's modulus of rock,,Preferred,,,,,,
phi_cmt,internal friction angle of cement,,Preferred,,,,,,
ucs_cmt,uniaxial compressive strength of cement,,Preferred,,,,,,
height_wh,"wellhead height, for all modes",,Preferred,,,,,,
mpl_wh,"wellhead mass per length, for all modes",,Preferred,,,,,,
phi_soil,"soil friction angle, modes 1 and 2 only",,From infrastructure table or enter value,Normal,SOIL FRICTION ANGLE (DEG),3,,29,40
