lon	lat	depth_m
-118.582956	34.448307	0.0
-118.582956	34.448307	7.62
-118.582956	34.448307	15.24
-118.582957	34.448306	22.86
-118.582957	34.448306	30.48
-118.582958	34.448306	38.1
-118.582958	34.448305	45.72
-118.582959	34.448305	53.34
-118.58296	34.448304	60.96
-118.58296	34.448304	68.58
-118.582961	34.448303	76.2
-118.582962	34.448303	83.82
-118.582963	34.448303	91.44
-118.582964	34.448302	99.06
-118.582965	34.448302	106.68
-118.582966	34.448301	114.3
-118.582967	34.448301	121.92
-118.582969	34.448301	129.54
-118.58297	34.4483	137.16
-118.582971	34.4483	144.78
-118.582973	34.448299	152.4
-118.582975	34.448299	160.02
-118.582976	34.448299	167.64
-118.582978	34.448299	175.26
-118.58298	34.448298	182.88
-118.582982	34.448298	190.5
-118.582984	34.448298	198.12
-118.582985	34.448298	205.74
-118.582987	34.448299	213.36
-118.582989	34.448299	220.98
-118.58299	34.448299	228.6
-118.582992	34.448299	236.22
-118.582994	34.448299	243.84
-118.582995	34.448299	251.46
-118.582997	34.448299	259.08
-118.582998	34.4483	266.7
-118.583	34.4483	274.32
-118.583001	34.448301	281.94
-118.583003	34.448301	289.56
-118.583004	34.448301	297.18
-118.583006	34.448302	304.8
-118.583007	34.448302	312.42
-118.583009	34.448303	320.04
-118.58301	34.448303	327.66
-118.583011	34.448304	335.28
-118.583012	34.448304	342.9
-118.583014	34.448304	350.52
-118.583015	34.448305	358.14
-118.583017	34.448305	365.76
-118.583019	34.448306	373.38
-118.58302	34.448306	381.0
-118.583022	34.448306	388.62
-118.583024	34.448307	396.24
-118.583025	34.448307	403.86
-118.583027	34.448307	411.48
-118.583029	34.448307	419.1
-118.58303	34.448307	426.72
-118.583031	34.448308	434.34
-118.583033	34.448308	441.96
-118.583034	34.448308	449.58
-118.583035	34.448308	457.2
-118.583037	34.448308	464.82
-118.583038	34.448309	472.44
-118.583039	34.448309	480.06
-118.58304	34.448309	487.68
-118.583041	34.44831	495.3
-118.583042	34.44831	502.92
-118.583044	34.44831	510.54
-118.583045	34.44831	518.16
-118.583047	34.44831	525.78
-118.583048	34.44831	533.4
-118.58305	34.44831	541.02
-118.583051	34.44831	548.64
-118.583052	34.44831	556.26
-118.583053	34.448309	563.88
-118.583054	34.448309	571.5
-118.583055	34.448309	579.12
-118.583056	34.448309	586.74
-118.583057	34.448309	594.36
-118.583058	34.448309	601.98
-118.583059	34.448309	609.6
-118.58306	34.448309	617.22
-118.583061	34.448308	624.84
-118.583061	34.448308	632.46
-118.583062	34.448308	640.08
-118.583062	34.448307	647.7
-118.583063	34.448307	655.32
-118.583063	34.448306	662.94
-118.583064	34.448306	670.56
-118.583065	34.448306	678.18
-118.583065	34.448306	685.8
-118.583066	34.448305	693.42
-118.583066	34.448305	701.04
-118.583067	34.448305	708.66
-118.583067	34.448304	716.28
-118.583068	34.448304	723.9
-118.583069	34.448304	731.52
-118.58307	34.448304	739.14
-118.583071	34.448305	746.76
-118.583073	34.448305	754.38
-118.583074	34.448305	762.0
-118.583075	34.448305	769.62
-118.583076	34.448304	777.24
-118.583077	34.448304	784.86
-118.583078	34.448303	792.48
-118.583079	34.448303	800.1
-118.58308	34.448302	807.72
-118.583081	34.448302	815.34
-118.583082	34.448301	822.96
-118.583083	34.448301	830.58
-118.583084	34.448301	838.2
-118.583085	34.448301	845.82
-118.583085	34.448301	853.44
-118.583086	34.448301	861.06
-118.583087	34.448301	868.68
-118.583088	34.448301	876.3
-118.583088	34.448301	883.92
-118.583089	34.448301	891.54
-118.583089	34.448301	899.16
-118.58309	34.448301	906.78
-118.58309	34.448301	914.4
-118.583091	34.448301	922.02
-118.583091	34.448301	929.64
-118.583092	34.448301	937.26
-118.583092	34.448301	944.88
-118.583092	34.448301	952.5
-118.583092	34.448301	960.12
-118.583092	34.448301	967.74
-118.583092	34.4483	975.36
-118.583092	34.4483	982.98
-118.583092	34.4483	990.6
-118.583092	34.4483	998.22
-118.583092	34.448299	1005.84
-118.583092	34.448299	1013.46
-118.583092	34.448299	1021.08
-118.583092	34.448298	1028.7
-118.583091	34.448297	1036.32
-118.583091	34.448296	1043.94
-118.58309	34.448296	1051.56
-118.583089	34.448295	1059.18
-118.583088	34.448294	1066.8
-118.583087	34.448293	1074.42
-118.583087	34.448292	1082.04
-118.583086	34.448292	1089.66
-118.583085	34.448291	1097.28
-118.583084	34.44829	1104.9
-118.583083	34.448289	1112.52
-118.583082	34.448288	1120.14
-118.583081	34.448288	1127.76
-118.58308	34.448287	1135.38
-118.583079	34.448286	1143.0
-118.583078	34.448285	1150.62
-118.583077	34.448284	1158.24
-118.583075	34.448283	1165.86
-118.583074	34.448282	1173.48
-118.583073	34.448282	1181.1
-118.583071	34.448281	1188.72
-118.58307	34.44828	1196.34
-118.583068	34.44828	1203.96
-118.583066	34.44828	1211.58
-118.583064	34.44828	1219.2
-118.583062	34.448279	1226.82
-118.58306	34.448279	1234.44
-118.583058	34.448279	1242.06
-118.583056	34.448279	1249.68
-118.583055	34.448279	1257.3
-118.583053	34.448279	1264.92
-118.583051	34.448279	1272.54
-118.583049	34.44828	1280.16
-118.583048	34.44828	1287.48
-118.583046	34.44828	1295.1
-118.583044	34.448281	1302.72
-118.583042	34.448281	1310.34
-118.58304	34.448282	1317.96
-118.583038	34.448282	1325.58
-118.583036	34.448283	1333.2
-118.583034	34.448283	1340.82
-118.583032	34.448284	1348.44
-118.58303	34.448284	1356.06
-118.583028	34.448285	1363.68
-118.583026	34.448285	1371.3
-118.583024	34.448286	1378.92
-118.583022	34.448286	1386.54
-118.58302	34.448287	1394.16
-118.583018	34.448288	1401.78
-118.583016	34.448289	1409.4
-118.583014	34.448289	1417.02
-118.583012	34.44829	1424.64
-118.58301	34.448291	1432.26
-118.583008	34.448292	1439.88
-118.583007	34.448293	1447.5
-118.583005	34.448293	1455.12
-118.583003	34.448294	1462.74
-118.583002	34.448295	1470.36
-118.583	34.448295	1477.98
-118.582998	34.448296	1485.6
-118.582997	34.448297	1493.22
