,5th_moment_conductor,16th_moment_conductor,50th_moment_conductor,84th_moment_conductor,95th_moment_conductor,mean_moment_conductor,5th_moment_surface,16th_moment_surface,50th_moment_surface,84th_moment_surface,95th_moment_surface,mean_moment_surface,5th_moment_production,16th_moment_production,50th_moment_production,84th_moment_production,95th_moment_production,mean_moment_production,5th_moment_tubing,16th_moment_tubing,50th_moment_tubing,84th_moment_tubing,95th_moment_tubing,mean_moment_tubing
well_1,0.0,3.921e-05,0.003601,0.01912,0.04332,0.01056,0.0,0.0,0.0003431,0.001539,0.004728,0.001153,0.0,0.0,5.036e-05,0.0002368,0.0007712,0.0001982,0.0,0.04649,0.1778,0.3768,0.5537,0.2153
well_2,0.0,7.017e-05,0.003712,0.01838,0.04125,0.01026,0.0,0.0,0.0009259,0.00494,0.01241,0.003047,0.0,0.0,1.194e-05,7.625e-05,0.0002163,5.924e-05,0.0,0.06404,0.2449,0.4918,0.7106,0.285
well_3,0.0,1.017e-05,0.003422,0.01742,0.03856,0.009494,0.0,0.0,0.0003054,0.001382,0.004115,0.001024,0.0,0.0,4.146e-05,0.0002067,0.0006438,0.0001714,0.0,0.04488,0.1676,0.3545,0.5227,0.2034
well_4,0.0,4.609e-05,0.003659,0.01858,0.04222,0.01039,0.0,0.0,0.0003316,0.001512,0.004635,0.001118,0.0,0.0,4.829e-05,0.0002272,0.0007517,0.0001891,0.0,0.04645,0.1777,0.3767,0.5549,0.2156
well_5,0.0,8.191e-06,0.003461,0.0177,0.03923,0.00965,0.0,0.0,0.0008669,0.004587,0.01146,0.002848,0.0,0.0,1.045e-05,6.947e-05,0.000197,5.486e-05,0.0,0.06039,0.2307,0.4678,0.6784,0.2704
well_6,0.0,2.059e-05,0.003442,0.0175,0.03858,0.009527,0.0,0.0,0.0008664,0.004521,0.01128,0.002795,0.0,0.0,1.026e-05,6.735e-05,0.0001929,5.245e-05,0.0,0.06054,0.2311,0.4679,0.6786,0.2706
well_7,0.0,0.0,0.002964,0.01477,0.03195,0.008128,0.0,0.0,0.000733,0.003741,0.009383,0.002288,0.0,0.0,7.659e-06,5.056e-05,0.0001289,3.71e-05,0.0,0.05629,0.226,0.46,0.6687,0.2635
well_8,0.0,0.0,0.00291,0.015,0.03308,0.00825,0.0,0.0,0.0002478,0.001114,0.003279,0.0008044,0.0,0.0,3.093e-05,0.0001594,0.0004789,0.0001262,0.0,0.04109,0.1622,0.3432,0.5164,0.1959
well_9,0.0,6.475e-05,0.003735,0.01872,0.04218,0.01043,0.0,0.0,0.0009382,0.005036,0.01269,0.003105,0.0,0.0,1.227e-05,7.915e-05,0.0002263,6.186e-05,0.0,0.06406,0.2449,0.4919,0.7106,0.2851
well_10,0.0,8.135e-05,0.003745,0.01827,0.04064,0.01021,0.0,0.0,0.0009252,0.004863,0.01222,0.003013,0.0,0.0,1.169e-05,7.372e-05,0.0002104,5.753e-05,0.0,0.06419,0.2449,0.4912,0.7099,0.2848
well_11,0.0,6.133e-05,0.003556,0.01681,0.03719,0.009314,0.0,0.0,0.0008738,0.004461,0.01086,0.002687,0.0,0.0,9.964e-06,6.22e-05,0.0001778,4.776e-05,0.0,0.06085,0.2315,0.4669,0.6776,0.2705
well_12,0.0,9.264e-06,0.002574,0.01308,0.02974,0.007331,0.0,0.0,0.0005868,0.003035,0.007773,0.001925,0.0,0.0,8.439e-05,0.0003738,0.001214,0.0003067,0.0,0.02569,0.1151,0.2628,0.4012,0.147
well_13,0.0,1.019e-05,0.0026,0.01317,0.0299,0.007374,0.0,0.0,0.0005909,0.003066,0.007836,0.001941,0.0,0.0,8.512e-05,0.0003775,0.001226,0.0003099,0.0,0.02574,0.1151,0.2628,0.4014,0.147
well_14,0.0,0.0,0.00256,0.01337,0.03064,0.007555,0.0,0.0,0.0006,0.003122,0.008199,0.002009,0.0,0.0,8.8e-05,0.0003973,0.001273,0.0003275,0.0,0.02572,0.115,0.262,0.4009,0.1468
well_15,0.0,0.0,0.002168,0.01122,0.02536,0.00631,0.0,0.0,0.0004976,0.002488,0.006642,0.001605,0.0,0.0,6.519e-05,0.0002987,0.000944,0.0002441,0.0,0.0223,0.1084,0.2523,0.3835,0.1396
well_16,0.0,0.0,0.00217,0.01124,0.0254,0.00632,0.0,0.0,0.0004982,0.002493,0.006663,0.001608,0.0,0.0,6.535e-05,0.0002995,0.0009463,0.0002448,0.0,0.02228,0.1082,0.2519,0.3828,0.1395
well_17,0.0,0.0,0.002195,0.01121,0.02539,0.006315,0.0,0.0,0.000499,0.002491,0.006606,0.001606,0.0,0.0,6.512e-05,0.0002997,0.0009461,0.0002438,0.0,0.0223,0.1085,0.2524,0.3836,0.1398
well_18,0.0,0.0,0.002205,0.01115,0.02519,0.006287,0.0,0.0,0.0004966,0.002479,0.006529,0.00159,0.0,0.0,6.436e-05,0.0002956,0.0009365,0.0002399,0.0,0.02231,0.1084,0.2523,0.3837,0.1397
well_19,0.0,4.569e-06,0.002568,0.01317,0.03003,0.007397,0.0,0.0,0.0005901,0.00305,0.007896,0.001949,0.0,0.0,8.517e-05,0.0003787,0.001232,0.0003128,0.0,0.02571,0.1151,0.2626,0.4012,0.1469
well_20,0.0,2.362e-05,0.003441,0.01741,0.03842,0.009496,0.0,0.0,0.0008647,0.004512,0.01118,0.002768,0.0,0.0,1.02e-05,6.664e-05,0.0001918,5.189e-05,0.0,0.06054,0.2309,0.4673,0.6779,0.2704
well_21,0.0,0.0,0.0029,0.01477,0.03233,0.008145,0.0,0.0,0.0002412,0.001088,0.003124,0.0007803,0.0,0.0,3e-05,0.0001528,0.0004524,0.0001203,0.0,0.04114,0.1623,0.3432,0.5165,0.196
