lon	lat	depth_m
-118.581377	34.449444	0.0
-118.581377	34.449444	7.62
-118.581377	34.449444	15.24
-118.581377	34.449445	22.86
-118.581377	34.449445	30.48
-118.581377	34.449445	38.1
-118.581377	34.449445	45.72
-118.581376	34.449445	53.34
-118.581376	34.449445	60.96
-118.581376	34.449445	68.58
-118.581376	34.449445	76.2
-118.581375	34.449445	83.82
-118.581375	34.449445	91.44
-118.581375	34.449445	99.06
-118.581374	34.449445	106.68
-118.581374	34.449445	114.3
-118.581374	34.449445	121.92
-118.581373	34.449445	129.54
-118.581373	34.449446	137.16
-118.581373	34.449446	144.78
-118.581372	34.449446	152.4
-118.581372	34.449446	160.02
-118.581372	34.449446	167.64
-118.581371	34.449446	175.26
-118.581371	34.449446	182.88
-118.581371	34.449447	190.5
-118.58137	34.449447	198.12
-118.58137	34.449447	205.74
-118.58137	34.449448	213.36
-118.58137	34.449448	220.98
-118.58137	34.449449	228.6
-118.58137	34.449449	236.22
-118.581371	34.44945	243.84
-118.581371	34.44945	251.46
-118.581371	34.449451	259.08
-118.581372	34.449451	266.7
-118.581372	34.449452	274.32
-118.581373	34.449453	281.94
-118.581373	34.449454	289.56
-118.581373	34.449454	297.18
-118.581374	34.449455	304.8
-118.581374	34.449456	312.42
-118.581375	34.449457	320.04
-118.581375	34.449458	327.66
-118.581376	34.449459	335.28
-118.581376	34.44946	342.9
-118.581377	34.449461	350.52
-118.581377	34.449462	358.14
-118.581377	34.449463	365.76
-118.581378	34.449464	373.38
-118.581378	34.449465	381.0
-118.581379	34.449466	388.62
-118.581379	34.449467	396.24
-118.58138	34.449467	403.86
-118.58138	34.449468	411.48
-118.58138	34.449469	419.1
-118.581381	34.44947	426.72
-118.581381	34.449471	434.34
-118.581382	34.449472	441.96
-118.581382	34.449473	449.58
-118.581382	34.449474	457.2
-118.581383	34.449475	464.82
-118.581383	34.449477	472.44
-118.581383	34.449478	480.06
-118.581384	34.449479	487.68
-118.581384	34.44948	495.3
-118.581385	34.449481	502.92
-118.581385	34.449482	510.54
-118.581385	34.449483	518.16
-118.581386	34.449484	525.78
-118.581386	34.449485	533.4
-118.581386	34.449486	541.02
-118.581387	34.449487	548.64
-118.581387	34.449487	556.26
-118.581387	34.449488	563.88
-118.581387	34.449488	571.5
-118.581387	34.449488	579.12
-118.581387	34.449488	586.74
-118.581387	34.449489	594.36
-118.581387	34.449489	601.98
-118.581387	34.449489	609.6
-118.581387	34.44949	617.22
-118.581387	34.44949	624.84
-118.581387	34.449491	632.46
-118.581387	34.449491	640.08
-118.581387	34.449492	647.7
-118.581386	34.449492	655.32
-118.581386	34.449493	662.94
-118.581385	34.449493	670.56
-118.581385	34.449494	678.18
-118.581384	34.449494	685.8
-118.581383	34.449494	693.42
-118.581382	34.449494	701.04
-118.581381	34.449494	708.66
-118.58138	34.449494	716.28
-118.581379	34.449493	723.9
-118.581377	34.449493	731.52
-118.581376	34.449493	739.14
-118.581374	34.449492	746.76
-118.581373	34.449491	754.38
-118.581371	34.449491	762.0
-118.581369	34.44949	769.62
-118.581367	34.449489	777.24
-118.581365	34.449488	784.86
-118.581363	34.449486	792.48
-118.581361	34.449485	800.1
-118.581359	34.449483	807.72
-118.581358	34.449482	815.34
-118.581356	34.44948	822.96
-118.581354	34.449478	830.58
-118.581352	34.449476	838.2
-118.58135	34.449474	845.82
-118.581348	34.449472	853.44
-118.581346	34.449469	861.06
-118.581349	34.449471	868.68
-118.581351	34.449472	876.3
-118.581354	34.449473	883.92
-118.581356	34.449475	891.54
-118.581359	34.449476	899.16
-118.581361	34.449477	906.78
-118.581363	34.449479	914.4
-118.581366	34.44948	922.02
-118.581368	34.449481	929.64
-118.58137	34.449482	937.26
-118.581372	34.449483	944.58
-118.581374	34.449484	952.2
-118.581376	34.449485	959.82
-118.581378	34.449486	967.44
-118.58138	34.449487	975.06
-118.581382	34.449488	982.68
-118.581384	34.449489	990.3
-118.581386	34.44949	997.92
-118.581388	34.449492	1005.54
-118.58139	34.449493	1013.16
-118.581392	34.449494	1020.78
-118.581394	34.449495	1028.4
-118.581396	34.449496	1036.02
-118.581398	34.449498	1043.64
-118.581399	34.4495	1051.26
-118.5814	34.449502	1058.88
-118.581402	34.449504	1066.5
-118.581403	34.449506	1074.12
-118.581404	34.449508	1081.74
-118.581405	34.44951	1089.36
-118.581406	34.449512	1096.98
-118.581407	34.449514	1104.6
-118.581409	34.449516	1112.22
-118.58141	34.449518	1119.84
-118.581411	34.44952	1127.46
-118.581412	34.449522	1135.08
-118.581414	34.449525	1142.7
-118.581415	34.449527	1150.32
-118.581416	34.449528	1157.94
-118.581418	34.44953	1165.56
-118.581419	34.449532	1173.18
-118.58142	34.449534	1180.8
-118.581421	34.449535	1188.42
-118.581422	34.449537	1196.04
-118.581423	34.449539	1203.66
-118.581424	34.44954	1211.28
-118.581425	34.449542	1218.9
-118.581425	34.449543	1226.52
-118.581426	34.449545	1234.14
-118.581426	34.449546	1241.76
-118.581426	34.449547	1249.38
-118.581427	34.449549	1257.0
-118.581427	34.44955	1264.62
-118.581427	34.449552	1272.24
-118.581427	34.449553	1279.86
-118.581427	34.449555	1287.48
-118.581426	34.449556	1295.1
-118.581426	34.449558	1302.72
-118.581425	34.44956	1310.34
-118.581425	34.449562	1317.96
-118.581424	34.449563	1325.58
-118.581423	34.449565	1333.2
-118.581423	34.449567	1340.82
-118.581422	34.449569	1348.44
-118.581422	34.449571	1356.06
-118.581421	34.449573	1363.68
-118.581421	34.449575	1371.3
-118.58142	34.449577	1378.92
-118.58142	34.449579	1386.54
-118.581419	34.449581	1394.16
-118.581419	34.449583	1401.78
-118.581418	34.449585	1409.4
-118.581417	34.449587	1417.02
-118.581416	34.449589	1424.64
-118.581416	34.449591	1432.26
-118.581415	34.449593	1439.88
-118.581414	34.449595	1447.5
-118.581413	34.449597	1455.12
-118.581412	34.449599	1462.74
-118.581411	34.449601	1470.36
-118.58141	34.449603	1477.98
-118.581409	34.449605	1485.6
-118.581408	34.449607	1493.22
-118.581408	34.449609	1500.84
-118.581407	34.449611	1508.46
-118.581407	34.449612	1516.08
-118.581406	34.449614	1523.7
-118.581406	34.449616	1531.32
-118.581406	34.449617	1538.94
-118.581405	34.449619	1546.56
-118.581405	34.449621	1554.18
-118.581405	34.449622	1561.8
-118.581405	34.449624	1569.42
-118.581405	34.449626	1577.04
-118.581405	34.449627	1584.66
-118.581404	34.449629	1592.28
-118.581404	34.44963	1599.9
-118.581403	34.449631	1607.52
-118.581403	34.449633	1615.14
-118.581403	34.449635	1622.76
-118.581402	34.449636	1630.38
-118.581402	34.449638	1638.0
-118.581401	34.44964	1645.62
-118.581401	34.449642	1653.24
-118.5814	34.449644	1660.86
-118.5814	34.449647	1668.48
-118.581399	34.44965	1676.1
-118.581398	34.449653	1683.41
-118.581397	34.449656	1691.03
-118.581397	34.449659	1698.65
-118.581396	34.449662	1706.27
-118.581395	34.449665	1713.89
-118.581394	34.449668	1721.51
-118.581393	34.449671	1729.13
-118.581392	34.449674	1736.75
-118.581391	34.449677	1744.37
-118.58139	34.44968	1751.99
-118.581389	34.449684	1759.61
-118.581388	34.449687	1767.23
-118.581387	34.449689	1774.85
-118.581386	34.449693	1782.47
-118.581385	34.449696	1790.09
-118.581384	34.449699	1797.71
-118.581383	34.449702	1805.33
-118.581382	34.449705	1812.95
-118.581381	34.449708	1820.57
-118.58138	34.449711	1828.19
-118.581379	34.449714	1835.81
-118.581378	34.449717	1843.43
-118.581377	34.44972	1851.05
-118.581377	34.449723	1858.67
-118.581376	34.449726	1866.29
-118.581376	34.449729	1873.91
-118.581375	34.449732	1881.53
-118.581375	34.449734	1889.15
-118.581375	34.449737	1896.77
-118.581374	34.449739	1904.39
-118.581374	34.449742	1912.01
-118.581374	34.449744	1919.63
-118.581375	34.449747	1927.25
-118.581375	34.449749	1934.87
-118.581375	34.449751	1942.49
-118.581375	34.449753	1950.11
-118.581376	34.449755	1957.73
-118.581376	34.449757	1965.35
-118.581377	34.449758	1972.97
-118.581377	34.44976	1980.59
-118.581377	34.449761	1988.21
-118.581378	34.449762	1995.83
-118.581378	34.449764	2003.45
-118.581379	34.449765	2011.07
-118.581379	34.449766	2018.69
-118.58138	34.449766	2026.31
-118.581381	34.449767	2033.93
-118.581381	34.449767	2041.55
-118.581382	34.449767	2049.17
-118.581382	34.449767	2056.79
-118.581383	34.449767	2064.41
-118.581383	34.449767	2072.03
-118.581384	34.449768	2079.65
-118.581384	34.449768	2087.27
-118.581384	34.449768	2094.89
-118.581385	34.449768	2102.51
-118.581385	34.449768	2110.13
-118.581386	34.449768	2117.75
-118.581387	34.449769	2125.37
-118.581387	34.449769	2132.99
-118.581388	34.449769	2140.61
-118.581389	34.449769	2148.23
-118.58139	34.449768	2155.85
-118.581392	34.449768	2163.47
-118.581393	34.449768	2171.09
-118.581394	34.449767	2178.71
-118.581395	34.449767	2186.33
-118.581396	34.449766	2193.95
-118.581397	34.449766	2201.57
-118.581398	34.449765	2209.19
-118.581399	34.449764	2216.81
-118.581399	34.449763	2224.43
-118.5814	34.449762	2232.05
-118.581401	34.449761	2239.67
-118.581401	34.44976	2247.29
-118.581401	34.44976	2254.91
-118.581401	34.449759	2262.53
-118.5814	34.449758	2270.15
-118.5814	34.449757	2277.77
-118.581399	34.449756	2285.39
-118.581399	34.449755	2293.01
-118.581398	34.449754	2300.63
-118.581397	34.449753	2308.25
-118.581395	34.449752	2315.87
-118.581393	34.44975	2323.49
-118.581391	34.449749	2331.11
-118.581389	34.449747	2338.43
-118.581386	34.449744	2346.05
-118.581383	34.449742	2353.67
-118.58138	34.449739	2361.29
-118.581377	34.449736	2368.91
-118.581375	34.449734	2376.53
-118.581373	34.449731	2384.15
-118.58137	34.449728	2391.77
-118.581368	34.449725	2399.39
-118.581366	34.449722	2407.01
-118.581364	34.449719	2414.63
-118.581363	34.449717	2422.25
-118.581361	34.449714	2429.87
-118.581359	34.449712	2437.49
-118.581358	34.449709	2445.11
-118.581356	34.449707	2452.73
-118.581355	34.449704	2460.35
-118.581353	34.449702	2467.97
-118.581352	34.449699	2475.59
-118.58135	34.449696	2483.21
-118.581349	34.449694	2490.83
-118.581348	34.449691	2498.45
-118.581347	34.449688	2506.07
-118.581346	34.449686	2513.69
-118.581345	34.449683	2521.31
-118.581344	34.44968	2528.93
-118.581344	34.449678	2536.55
-118.581344	34.449675	2544.17
-118.581343	34.449673	2551.79
-118.581344	34.44967	2559.41
-118.581344	34.449668	2567.03
-118.581344	34.449666	2574.65
-118.581344	34.449663	2582.27
-118.581345	34.449661	2589.89
-118.581345	34.449658	2597.51
-118.581346	34.449656	2605.13
-118.581346	34.449653	2612.75
-118.581346	34.449651	2620.37
-118.581346	34.449648	2627.99
-118.581346	34.449646	2635.61
-118.581346	34.449643	2643.23
-118.581346	34.449641	2650.85
-118.581346	34.449639	2658.47
-118.581346	34.449636	2666.09
-118.581346	34.449634	2673.71
-118.581345	34.449632	2681.33
-118.581344	34.44963	2688.95
-118.581343	34.449628	2696.57
-118.581343	34.449625	2704.19
-118.581345	34.449623	2711.5
-118.581348	34.44962	2719.12
-118.581352	34.449618	2726.74
-118.581358	34.449616	2734.36
-118.581363	34.449614	2741.98
-118.581369	34.449612	2749.6
-118.581375	34.44961	2757.22
-118.581381	34.449608	2764.84
-118.581388	34.449605	2772.46
-118.581394	34.449603	2780.08
-118.581401	34.449601	2787.7
-118.581408	34.449599	2795.32
-118.581412	34.449598	2799.28
