Period,e0,e1,e2,e3,e4,e5,e6,Mh,c1,c2,c3,Mref,Rref,h,Dc3Global,Dc3ChinaTrk,Dc3ItalyJapan,c,Vc,Vref,f1,f3,f4,f5,f6,f7,R1,R2,DfR,DfV,V1,V2,l1,l2,t1,t2
0,4.47E-01,4.86E-01,2.46E-01,4.54E-01,1.43E+00,5.05E-02,-1.66E-01,5.5,-1.13E+00,1.92E-01,-8.09E-03,4.5,1,4.5,0.00E+00,2.86E-03,-2.55E-03,-6.00E-01,1500,760,0,0.1,-1.50E-01,-7.01E-03,-9.90E+00,-9.90E+00,110,270,0.1,0.07,225,300,0.695,0.495,0.398,0.348
-1,5.04E+00,5.08E+00,4.85E+00,5.03E+00,1.07E+00,-1.54E-01,2.25E-01,6.2,-1.24E+00,1.49E-01,-3.44E-03,4.5,1,5.3,0.00E+00,4.35E-03,-3.30E-04,-8.40E-01,1300,760,0,0.1,-1.00E-01,-8.44E-03,-9.90E+00,-9.90E+00,105,272,0.082,0.08,225,300,0.644,0.552,0.401,0.346
0.01,4.53E-01,4.92E-01,2.52E-01,4.60E-01,1.42E+00,4.93E-02,-1.66E-01,5.5,-1.13E+00,1.92E-01,-8.09E-03,4.5,1,4.5,0.00E+00,2.82E-03,-2.44E-03,-6.04E-01,1500.2,760,0,0.1,-1.48E-01,-7.01E-03,-9.90E+00,-9.90E+00,111.67,270,0.096,0.07,225,300,0.698,0.499,0.402,0.345
0.02,4.86E-01,5.24E-01,2.97E-01,4.89E-01,1.43E+00,5.34E-02,-1.66E-01,5.5,-1.14E+00,1.90E-01,-8.07E-03,4.5,1,4.5,0.00E+00,2.78E-03,-2.34E-03,-5.74E-01,1500.36,760,0,0.1,-1.47E-01,-7.28E-03,-9.90E+00,-9.90E+00,113.1,270,0.092,0.03,225,300,0.702,0.502,0.409,0.346
0.022,4.99E-01,5.36E-01,3.13E-01,5.00E-01,1.43E+00,5.49E-02,-1.65E-01,5.5,-1.14E+00,1.89E-01,-8.10E-03,4.5,1,4.5,0.00E+00,2.76E-03,-2.29E-03,-5.67E-01,1500.68,760,0,0.1,-1.48E-01,-7.32E-03,-9.90E+00,-9.90E+00,113.37,270,0.088,0.027,225,300,0.707,0.505,0.418,0.349
0.025,5.23E-01,5.61E-01,3.44E-01,5.20E-01,1.43E+00,5.75E-02,-1.65E-01,5.5,-1.14E+00,1.89E-01,-8.15E-03,4.5,1,4.5,0.00E+00,2.75E-03,-2.25E-03,-5.55E-01,1501.04,760,0,0.1,-1.50E-01,-7.36E-03,-9.90E+00,-9.90E+00,113.07,270,0.086,0.026,225,300,0.711,0.508,0.427,0.354
0.029,5.59E-01,5.99E-01,3.91E-01,5.50E-01,1.43E+00,6.07E-02,-1.66E-01,5.5,-1.14E+00,1.88E-01,-8.29E-03,4.5,1,4.5,0.00E+00,2.76E-03,-2.21E-03,-5.39E-01,1501.26,760,0,0.1,-1.54E-01,-7.37E-03,-9.90E+00,-9.90E+00,112.36,270,0.084,0.028,225,300,0.716,0.51,0.436,0.359
0.03,5.69E-01,6.09E-01,4.04E-01,5.58E-01,1.43E+00,6.14E-02,-1.67E-01,5.5,-1.14E+00,1.88E-01,-8.34E-03,4.5,1,4.49,0.00E+00,2.76E-03,-2.17E-03,-5.34E-01,1502.95,760,0,0.1,-1.55E-01,-7.35E-03,-9.90E+00,-9.90E+00,112.13,270,0.081,0.029,225,300,0.721,0.514,0.445,0.364
0.032,5.88E-01,6.29E-01,4.28E-01,5.73E-01,1.42E+00,6.28E-02,-1.68E-01,5.5,-1.14E+00,1.88E-01,-8.45E-03,4.5,1,4.45,0.00E+00,2.77E-03,-2.12E-03,-5.25E-01,1503.12,760,0,0.1,-1.57E-01,-7.31E-03,-9.90E+00,-9.90E+00,111.65,270,0.078,0.03,225,300,0.726,0.516,0.454,0.369
0.035,6.16E-01,6.58E-01,4.63E-01,5.97E-01,1.42E+00,6.46E-02,-1.70E-01,5.5,-1.14E+00,1.88E-01,-8.64E-03,4.5,1,4.4,0.00E+00,2.78E-03,-2.10E-03,-5.12E-01,1503.24,760,0,0.1,-1.60E-01,-7.21E-03,-9.90E+00,-9.90E+00,110.64,270,0.077,0.031,225,300,0.73,0.518,0.462,0.374
