SourceIndex,Longitude,Latitude,Depth
253395,-117.2,31.6,0
253396,-117.1,31.6,0
253397,-117,31.6,0
253398,-116.9,31.6,0
253399,-116.8,31.6,0
253400,-116.7,31.6,0
253401,-116.6,31.6,0
253402,-116.5,31.6,0
253403,-116.4,31.6,0
253404,-116.3,31.6,0
253405,-116.2,31.6,0
253406,-116.1,31.6,0
253407,-116,31.6,0
253408,-115.9,31.6,0
253409,-115.8,31.6,0
253410,-117.5,31.7,0
253411,-117.4,31.7,0
253412,-117.3,31.7,0
253413,-117.2,31.7,0
253414,-117.1,31.7,0
253415,-117,31.7,0
253416,-116.9,31.7,0
253417,-116.8,31.7,0
253418,-116.7,31.7,0
253419,-116.6,31.7,0
253420,-116.5,31.7,0
253421,-116.4,31.7,0
253422,-116.3,31.7,0
253423,-116.2,31.7,0
253424,-116.1,31.7,0
253425,-116,31.7,0
253426,-115.9,31.7,0
253427,-115.8,31.7,0
253428,-115.7,31.7,0
253429,-115.6,31.7,0
253430,-115.5,31.7,0
253431,-115.4,31.7,0
253432,-115.3,31.7,0
253433,-115.2,31.7,0
253434,-115.1,31.7,0
253435,-115,31.7,0
253436,-114.9,31.7,0
253437,-114.8,31.7,0
253438,-114.7,31.7,0
253439,-114.6,31.7,0
253440,-117.7,31.8,0
253441,-117.6,31.8,0
253442,-117.5,31.8,0
253443,-117.4,31.8,0
253444,-117.3,31.8,0
253445,-117.2,31.8,0
253446,-117.1,31.8,0
253447,-117,31.8,0
253448,-116.9,31.8,0
253449,-116.8,31.8,0
253450,-116.7,31.8,0
253451,-116.6,31.8,0
253452,-116.5,31.8,0
253453,-116.4,31.8,0
253454,-116.3,31.8,0
253455,-116.2,31.8,0
253456,-116.1,31.8,0
253457,-116,31.8,0
253458,-115.9,31.8,0
253459,-115.8,31.8,0
253460,-115.7,31.8,0
253461,-115.6,31.8,0
253462,-115.5,31.8,0
253463,-115.4,31.8,0
253464,-115.3,31.8,0
253465,-115.2,31.8,0
253466,-115.1,31.8,0
253467,-115,31.8,0
253468,-114.9,31.8,0
253469,-114.8,31.8,0
253470,-114.7,31.8,0
253471,-114.6,31.8,0
253472,-114.5,31.8,0
253473,-114.4,31.8,0
253474,-117.9,31.9,0
253475,-117.8,31.9,0
253476,-117.7,31.9,0
253477,-117.6,31.9,0
253478,-117.5,31.9,0
253479,-117.4,31.9,0
253480,-117.3,31.9,0
253481,-117.2,31.9,0
253482,-117.1,31.9,0
253483,-117,31.9,0
253484,-116.9,31.9,0
253485,-116.8,31.9,0
253486,-116.7,31.9,0
253487,-116.6,31.9,0
253488,-116.5,31.9,0
253489,-116.4,31.9,0
253490,-116.3,31.9,0
253491,-116.2,31.9,0
253492,-116.1,31.9,0
253493,-116,31.9,0
253494,-115.9,31.9,0
253495,-115.8,31.9,0
253496,-115.7,31.9,0
253497,-115.6,31.9,0
253498,-115.5,31.9,0
253499,-115.4,31.9,0
253500,-115.3,31.9,0
253501,-115.2,31.9,0
253502,-115.1,31.9,0
253503,-115,31.9,0
253504,-114.9,31.9,0
253505,-114.8,31.9,0
253506,-114.7,31.9,0
253507,-114.6,31.9,0
253508,-114.5,31.9,0
253509,-114.4,31.9,0
253510,-114.3,31.9,0
253511,-114.2,31.9,0
253512,-117.9,32,0
253513,-117.8,32,0
253514,-117.7,32,0
253515,-117.6,32,0
253516,-117.5,32,0
253517,-117.4,32,0
253518,-117.3,32,0
253519,-117.2,32,0
253520,-117.1,32,0
253521,-117,32,0
253522,-116.9,32,0
253523,-116.8,32,0
253524,-116.7,32,0
253525,-116.6,32,0
253526,-116.5,32,0
253527,-116.4,32,0
253528,-116.3,32,0
253529,-116.2,32,0
253530,-116.1,32,0
253531,-116,32,0
253532,-115.9,32,0
253533,-115.8,32,0
253534,-115.7,32,0
253535,-115.6,32,0
253536,-115.5,32,0
253537,-115.4,32,0
253538,-115.3,32,0
253539,-115.2,32,0
253540,-115.1,32,0
253541,-115,32,0
253542,-114.9,32,0
253543,-114.8,32,0
253544,-114.7,32,0
253545,-114.6,32,0
253546,-114.5,32,0
253547,-114.4,32,0
253548,-114.3,32,0
253549,-114.2,32,0
253550,-114.1,32,0
253551,-114,32,0
253552,-118,32.1,0
253553,-117.9,32.1,0
253554,-117.8,32.1,0
253555,-117.7,32.1,0
253556,-117.6,32.1,0
253557,-117.5,32.1,0
253558,-117.4,32.1,0
253559,-117.3,32.1,0
253560,-117.2,32.1,0
253561,-117.1,32.1,0
253562,-117,32.1,0
253563,-116.9,32.1,0
253564,-116.8,32.1,0
253565,-116.7,32.1,0
253566,-116.6,32.1,0
253567,-116.5,32.1,0
253568,-116.4,32.1,0
253569,-116.3,32.1,0
253570,-116.2,32.1,0
253571,-116.1,32.1,0
253572,-116,32.1,0
253573,-115.9,32.1,0
253574,-115.8,32.1,0
253575,-115.7,32.1,0
253576,-115.6,32.1,0
253577,-115.5,32.1,0
253578,-115.4,32.1,0
253579,-115.3,32.1,0
253580,-115.2,32.1,0
253581,-115.1,32.1,0
253582,-115,32.1,0
253583,-114.9,32.1,0
253584,-114.8,32.1,0
253585,-114.7,32.1,0
253586,-114.6,32.1,0
253587,-114.5,32.1,0
253588,-114.4,32.1,0
253589,-114.3,32.1,0
253590,-114.2,32.1,0
253591,-114.1,32.1,0
253592,-114,32.1,0
253593,-113.9,32.1,0
253594,-113.8,32.1,0
253595,-118,32.2,0
253596,-117.9,32.2,0
253597,-117.8,32.2,0
253598,-117.7,32.2,0
253599,-117.6,32.2,0
253600,-117.5,32.2,0
253601,-117.4,32.2,0
253602,-117.3,32.2,0
253603,-117.2,32.2,0
253604,-117.1,32.2,0
253605,-117,32.2,0
253606,-116.9,32.2,0
253607,-116.8,32.2,0
253608,-116.7,32.2,0
253609,-116.6,32.2,0
253610,-116.5,32.2,0
253611,-116.4,32.2,0
253612,-116.3,32.2,0
253613,-116.2,32.2,0
253614,-116.1,32.2,0
253615,-116,32.2,0
253616,-115.9,32.2,0
253617,-115.8,32.2,0
253618,-115.7,32.2,0
253619,-115.6,32.2,0
253620,-115.5,32.2,0
253621,-115.4,32.2,0
253622,-115.3,32.2,0
253623,-115.2,32.2,0
253624,-115.1,32.2,0
253625,-115,32.2,0
253626,-114.9,32.2,0
253627,-114.8,32.2,0
253628,-114.7,32.2,0
253629,-114.6,32.2,0
253630,-114.5,32.2,0
253631,-114.4,32.2,0
253632,-114.3,32.2,0
253633,-114.2,32.2,0
253634,-114.1,32.2,0
253635,-114,32.2,0
253636,-113.9,32.2,0
253637,-113.8,32.2,0
253638,-113.7,32.2,0
253639,-118.1,32.3,0
253640,-118,32.3,0
253641,-117.9,32.3,0
253642,-117.8,32.3,0
253643,-117.7,32.3,0
253644,-117.6,32.3,0
253645,-117.5,32.3,0
253646,-117.4,32.3,0
253647,-117.3,32.3,0
253648,-117.2,32.3,0
253649,-117.1,32.3,0
253650,-117,32.3,0
253651,-116.9,32.3,0
253652,-116.8,32.3,0
253653,-116.7,32.3,0
253654,-116.6,32.3,0
253655,-116.5,32.3,0
253656,-116.4,32.3,0
253657,-116.3,32.3,0
253658,-116.2,32.3,0
253659,-116.1,32.3,0
253660,-116,32.3,0
253661,-115.9,32.3,0
253662,-115.8,32.3,0
253663,-115.7,32.3,0
253664,-115.6,32.3,0
253665,-115.5,32.3,0
253666,-115.4,32.3,0
253667,-115.3,32.3,0
253668,-115.2,32.3,0
253669,-115.1,32.3,0
253670,-115,32.3,0
253671,-114.9,32.3,0
253672,-114.8,32.3,0
253673,-114.7,32.3,0
253674,-114.6,32.3,0
253675,-114.5,32.3,0
253676,-114.4,32.3,0
253677,-114.3,32.3,0
253678,-114.2,32.3,0
253679,-114.1,32.3,0
253680,-114,32.3,0
253681,-113.9,32.3,0
253682,-113.8,32.3,0
253683,-113.7,32.3,0
253684,-113.6,32.3,0
253685,-118.1,32.4,0
253686,-118,32.4,0
253687,-117.9,32.4,0
253688,-117.8,32.4,0
253689,-117.7,32.4,0
253690,-117.6,32.4,0
253691,-117.5,32.4,0
253692,-117.4,32.4,0
253693,-117.3,32.4,0
253694,-117.2,32.4,0
253695,-117.1,32.4,0
253696,-117,32.4,0
253697,-116.9,32.4,0
253698,-116.8,32.4,0
253699,-116.7,32.4,0
253700,-116.6,32.4,0
253701,-116.5,32.4,0
253702,-116.4,32.4,0
253703,-116.3,32.4,0
253704,-116.2,32.4,0
253705,-116.1,32.4,0
253706,-116,32.4,0
253707,-115.9,32.4,0
253708,-115.8,32.4,0
253709,-115.7,32.4,0
253710,-115.6,32.4,0
253711,-115.5,32.4,0
253712,-115.4,32.4,0
253713,-115.3,32.4,0
253714,-115.2,32.4,0
253715,-115.1,32.4,0
253716,-115,32.4,0
253717,-114.9,32.4,0
253718,-114.8,32.4,0
253719,-114.7,32.4,0
253720,-114.6,32.4,0
253721,-114.5,32.4,0
253722,-114.4,32.4,0
253723,-114.3,32.4,0
253724,-114.2,32.4,0
253725,-114.1,32.4,0
253726,-114,32.4,0
253727,-113.9,32.4,0
253728,-113.8,32.4,0
253729,-113.7,32.4,0
253730,-113.6,32.4,0
253731,-118.2,32.5,0
253732,-118.1,32.5,0
253733,-118,32.5,0
253734,-117.9,32.5,0
253735,-117.8,32.5,0
253736,-117.7,32.5,0
253737,-117.6,32.5,0
253738,-117.5,32.5,0
253739,-117.4,32.5,0
253740,-117.3,32.5,0
253741,-117.2,32.5,0
253742,-117.1,32.5,0
253743,-117,32.5,0
253744,-116.9,32.5,0
253745,-116.8,32.5,0
253746,-116.7,32.5,0
253747,-116.6,32.5,0
253748,-116.5,32.5,0
253749,-116.4,32.5,0
253750,-116.3,32.5,0
253751,-116.2,32.5,0
253752,-116.1,32.5,0
253753,-116,32.5,0
253754,-115.9,32.5,0
253755,-115.8,32.5,0
253756,-115.7,32.5,0
253757,-115.6,32.5,0
253758,-115.5,32.5,0
253759,-115.4,32.5,0
253760,-115.3,32.5,0
253761,-115.2,32.5,0
253762,-115.1,32.5,0
253763,-115,32.5,0
253764,-114.9,32.5,0
253765,-114.8,32.5,0
253766,-114.7,32.5,0
253767,-114.6,32.5,0
253768,-114.5,32.5,0
253769,-114.4,32.5,0
253770,-114.3,32.5,0
253771,-114.2,32.5,0
253772,-114.1,32.5,0
253773,-114,32.5,0
253774,-113.9,32.5,0
253775,-113.8,32.5,0
253776,-113.7,32.5,0
253777,-113.6,32.5,0
253778,-118.2,32.6,0
253779,-118.1,32.6,0
253780,-118,32.6,0
253781,-117.9,32.6,0
253782,-117.8,32.6,0
253783,-117.7,32.6,0
253784,-117.6,32.6,0
253785,-117.5,32.6,0
253786,-117.4,32.6,0
253787,-117.3,32.6,0
253788,-117.2,32.6,0
253789,-117.1,32.6,0
253790,-117,32.6,0
253791,-116.9,32.6,0
253792,-116.8,32.6,0
253793,-116.7,32.6,0
253794,-116.6,32.6,0
253795,-116.5,32.6,0
253796,-116.4,32.6,0
253797,-116.3,32.6,0
253798,-116.2,32.6,0
253799,-116.1,32.6,0
253800,-116,32.6,0
253801,-115.9,32.6,0
253802,-115.8,32.6,0
253803,-115.7,32.6,0
253804,-115.6,32.6,0
253805,-115.5,32.6,0
253806,-115.4,32.6,0
253807,-115.3,32.6,0
253808,-115.2,32.6,0
253809,-115.1,32.6,0
253810,-115,32.6,0
253811,-114.9,32.6,0
253812,-114.8,32.6,0
253813,-114.7,32.6,0
253814,-114.6,32.6,0
253815,-114.5,32.6,0
253816,-114.4,32.6,0
253817,-114.3,32.6,0
253818,-114.2,32.6,0
253819,-114.1,32.6,0
253820,-114,32.6,0
253821,-113.9,32.6,0
253822,-113.8,32.6,0
253823,-113.7,32.6,0
253824,-113.6,32.6,0
253825,-118.3,32.7,0
253826,-118.2,32.7,0
253827,-118.1,32.7,0
253828,-118,32.7,0
253829,-117.9,32.7,0
253830,-117.8,32.7,0
253831,-117.7,32.7,0
253832,-117.6,32.7,0
253833,-117.5,32.7,0
253834,-117.4,32.7,0
253835,-117.3,32.7,0
253836,-117.2,32.7,0
253837,-117.1,32.7,0
253838,-117,32.7,0
253839,-116.9,32.7,0
253840,-116.8,32.7,0
253841,-116.7,32.7,0
253842,-116.6,32.7,0
253843,-116.5,32.7,0
253844,-116.4,32.7,0
