SectionID,SectionName,SectionTrace
1873,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 2","[[-121.30511, 36.74632, 0.0], [-121.29544, 36.73871, 0.0], [-121.25965, 36.69933, 0.0]]"
2399,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 3","[[-121.25965, 36.69933, 0.0], [-121.24458, 36.68274, 0.0], [-121.21224, 36.65353, 0.0]]"
2508,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 4","[[-121.21224, 36.65353, 0.0], [-121.16296, 36.60897, 0.0]]"
429,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 5","[[-121.16296, 36.60897, 0.0], [-121.12877, 36.578, 0.0], [-121.11317, 36.5648, 0.0]]"
1049,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 6","[[-121.11317, 36.5648, 0.0], [-121.06315, 36.52241, 0.0], [-121.06228, 36.52147, 0.0]]"
415,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 7","[[-121.06228, 36.52147, 0.0], [-121.01804, 36.47366, 0.0]]"
1552,"San Andreas (Creeping Section) 2011 CFM, Subsection 11","[[-121.02158, 36.43669, 0.0], [-121.0623, 36.47703, 0.0]]"
2036,"San Andreas (Creeping Section) 2011 CFM, Subsection 10","[[-120.98098, 36.39629, 0.0], [-121.00091, 36.41619, 0.0], [-121.02158, 36.43669, 0.0]]"
201,"San Andreas (Creeping Section) 2011 CFM, Subsection 9","[[-120.9405, 36.35583, 0.0], [-120.98098, 36.39629, 0.0]]"
2497,"San Andreas (Creeping Section) 2011 CFM, Subsection 8","[[-120.90006, 36.31535, 0.0], [-120.9405, 36.35583, 0.0]]"
1240,"San Andreas (Creeping Section) 2011 CFM, Subsection 7","[[-120.85981, 36.27477, 0.0], [-120.88991, 36.30519, 0.0], [-120.90006, 36.31535, 0.0]]"
902,"San Andreas (Creeping Section) 2011 CFM, Subsection 6","[[-120.81903, 36.23456, 0.0], [-120.82808, 36.24267, 0.0], [-120.85981, 36.27477, 0.0]]"
634,"San Andreas (Creeping Section) 2011 CFM, Subsection 5","[[-120.77597, 36.19592, 0.0], [-120.81903, 36.23456, 0.0]]"
1063,"San Andreas (Creeping Section) 2011 CFM, Subsection 4","[[-120.73269, 36.15747, 0.0], [-120.73885, 36.16257, 0.0], [-120.77597, 36.19592, 0.0]]"
1681,"San Andreas (Creeping Section) 2011 CFM, Subsection 3","[[-120.68778, 36.12027, 0.0], [-120.73269, 36.15747, 0.0]]"
1407,"San Andreas (Creeping Section) 2011 CFM, Subsection 2","[[-120.64475, 36.08169, 0.0], [-120.66954, 36.10514, 0.0], [-120.68778, 36.12027, 0.0]]"
2470,"San Andreas (Creeping Section) 2011 CFM, Subsection 1","[[-120.60302, 36.04217, 0.0], [-120.64475, 36.08169, 0.0]]"
996,"San Andreas (Creeping Section) 2011 CFM, Subsection 0","[[-120.56133, 36.00264, 0.0], [-120.60302, 36.04217, 0.0]]"
2045,"San Andreas (Parkfield), Subsection 7","[[-120.52819, 35.97134, 0.0], [-120.56089, 36.00265, 0.0]]"
2085,"San Andreas (Parkfield), Subsection 6","[[-120.49552, 35.94003, 0.0], [-120.52819, 35.97134, 0.0]]"
1487,"San Andreas (Parkfield), Subsection 5","[[-120.46288, 35.90871, 0.0], [-120.49552, 35.94003, 0.0]]"
1671,"San Andreas (Parkfield), Subsection 4","[[-120.43026, 35.87738, 0.0], [-120.46288, 35.90871, 0.0]]"
1440,"San Andreas (Parkfield), Subsection 3","[[-120.39767, 35.84605, 0.0], [-120.43026, 35.87738, 0.0]]"
1305,"San Andreas (Parkfield), Subsection 2","[[-120.3651, 35.8147, 0.0], [-120.39767, 35.84605, 0.0]]"
2346,"San Andreas (Parkfield), Subsection 1","[[-120.33256, 35.78335, 0.0], [-120.3651, 35.8147, 0.0]]"
