SourceIndex,Longitude,Latitude,Depth
305287,-117.20000000000002,31.6,0.0
305288,-117.1,31.6,0.0
305289,-117.0,31.6,0.0
305290,-116.9,31.6,0.0
305291,-116.80000000000001,31.6,0.0
305292,-116.69999999999999,31.6,0.0
305293,-116.6,31.6,0.0
305294,-116.5,31.6,0.0
305295,-116.4,31.6,0.0
305296,-116.3,31.6,0.0
305297,-116.2,31.6,0.0
305298,-116.10000000000001,31.6,0.0
305299,-116.00000000000001,31.6,0.0
305300,-115.90000000000002,31.6,0.0
305301,-115.8,31.6,0.0
305302,-117.5,31.7,0.0
305303,-117.4,31.7,0.0
305304,-117.30000000000001,31.7,0.0
305305,-117.20000000000002,31.7,0.0
305306,-117.1,31.7,0.0
305307,-117.0,31.7,0.0
305308,-116.9,31.7,0.0
305309,-116.80000000000001,31.7,0.0
305310,-116.69999999999999,31.7,0.0
305311,-116.6,31.7,0.0
305312,-116.5,31.7,0.0
305313,-116.4,31.7,0.0
305314,-116.3,31.7,0.0
305315,-116.2,31.7,0.0
305316,-116.10000000000001,31.7,0.0
305317,-116.00000000000001,31.7,0.0
305318,-115.90000000000002,31.7,0.0
305319,-115.8,31.7,0.0
305320,-115.7,31.7,0.0
305321,-115.59999999999998,31.7,0.0
305322,-115.49999999999999,31.7,0.0
305323,-115.39999999999999,31.7,0.0
305324,-115.3,31.7,0.0
305325,-115.2,31.7,0.0
305326,-115.1,31.7,0.0
305327,-115.0,31.7,0.0
305328,-114.9,31.7,0.0
305329,-114.80000000000001,31.7,0.0
305330,-114.70000000000002,31.7,0.0
305331,-114.6,31.7,0.0
305332,-117.7,31.8,0.0
305333,-117.6,31.8,0.0
305334,-117.5,31.8,0.0
305335,-117.4,31.8,0.0
305336,-117.30000000000001,31.8,0.0
305337,-117.20000000000002,31.8,0.0
305338,-117.1,31.8,0.0
305339,-117.0,31.8,0.0
305340,-116.9,31.8,0.0
305341,-116.80000000000001,31.8,0.0
305342,-116.69999999999999,31.8,0.0
305343,-116.6,31.8,0.0
305344,-116.5,31.8,0.0
305345,-116.4,31.8,0.0
305346,-116.3,31.8,0.0
305347,-116.2,31.8,0.0
305348,-116.10000000000001,31.8,0.0
305349,-116.00000000000001,31.8,0.0
305350,-115.90000000000002,31.8,0.0
305351,-115.8,31.8,0.0
305352,-115.7,31.8,0.0
305353,-115.59999999999998,31.8,0.0
305354,-115.49999999999999,31.8,0.0
305355,-115.39999999999999,31.8,0.0
305356,-115.3,31.8,0.0
305357,-115.2,31.8,0.0
305358,-115.1,31.8,0.0
305359,-115.0,31.8,0.0
305360,-114.9,31.8,0.0
305361,-114.80000000000001,31.8,0.0
305362,-114.70000000000002,31.8,0.0
305363,-114.6,31.8,0.0
305364,-114.5,31.8,0.0
305365,-114.4,31.8,0.0
305366,-117.90000000000002,31.900000000000002,0.0
305367,-117.8,31.900000000000002,0.0
305368,-117.7,31.900000000000002,0.0
305369,-117.6,31.900000000000002,0.0
305370,-117.5,31.900000000000002,0.0
305371,-117.4,31.900000000000002,0.0
305372,-117.30000000000001,31.900000000000002,0.0
305373,-117.20000000000002,31.900000000000002,0.0
305374,-117.1,31.900000000000002,0.0
305375,-117.0,31.900000000000002,0.0
305376,-116.9,31.900000000000002,0.0
305377,-116.80000000000001,31.900000000000002,0.0
305378,-116.69999999999999,31.900000000000002,0.0
305379,-116.6,31.900000000000002,0.0
305380,-116.5,31.900000000000002,0.0
305381,-116.4,31.900000000000002,0.0
305382,-116.3,31.900000000000002,0.0
305383,-116.2,31.900000000000002,0.0
305384,-116.10000000000001,31.900000000000002,0.0
305385,-116.00000000000001,31.900000000000002,0.0
