SegmentID,SegmentName,SegmentTrace
571,"San Andreas (Carrizo) rev, Subsection 5","[[-119.58972, 35.07149, 0.0], [-119.5583, 35.0475, 0.0], [-119.52903, 35.02748, 0.0]]"
1225,"San Andreas (Carrizo) rev, Subsection 4","[[-119.64909, 35.11676, 0.0], [-119.58972, 35.07149, 0.0]]"
1793,"San Andreas (Carrizo) rev, Subsection 3","[[-119.70832, 35.16217, 0.0], [-119.7068, 35.1607, 0.0], [-119.64909, 35.11676, 0.0]]"
1128,"San Andreas (Carrizo) rev, Subsection 2","[[-119.76078, 35.21287, 0.0], [-119.70832, 35.16217, 0.0]]"
1769,"San Andreas (Carrizo) rev, Subsection 1","[[-119.81331, 35.26354, 0.0], [-119.76078, 35.21287, 0.0]]"
274,"San Andreas (Carrizo) rev, Subsection 0","[[-119.8659, 35.3142, 0.0], [-119.81331, 35.26354, 0.0]]"
2637,"San Andreas (Cholame) rev, Subsection 0","[[-119.86595, 35.31417, 0.0], [-119.90663, 35.35309, 0.0]]"
2315,"San Andreas (Cholame) rev, Subsection 1","[[-119.90663, 35.35309, 0.0], [-119.94735, 35.392, 0.0]]"
1234,"San Andreas (Cholame) rev, Subsection 2","[[-119.94735, 35.392, 0.0], [-119.9703, 35.41391, 0.0], [-119.98734, 35.43141, 0.0]]"
1375,"San Andreas (Cholame) rev, Subsection 3","[[-119.98734, 35.43141, 0.0], [-120.02638, 35.47146, 0.0]]"
1823,"San Andreas (Cholame) rev, Subsection 4","[[-120.02638, 35.47146, 0.0], [-120.06546, 35.51151, 0.0]]"
1917,"San Andreas (Cholame) rev, Subsection 5","[[-120.06546, 35.51151, 0.0], [-120.08676, 35.53331, 0.0], [-120.10452, 35.55158, 0.0]]"
618,"San Andreas (Cholame) rev, Subsection 6","[[-120.10452, 35.55158, 0.0], [-120.14355, 35.59169, 0.0]]"
2109,"San Andreas (Cholame) rev, Subsection 7","[[-120.14355, 35.59169, 0.0], [-120.18261, 35.63178, 0.0]]"
576,"San Andreas (Cholame) rev, Subsection 8","[[-120.18261, 35.63178, 0.0], [-120.22172, 35.67186, 0.0]]"
53,"San Andreas (Cholame) rev, Subsection 9","[[-120.22172, 35.67186, 0.0], [-120.26086, 35.71193, 0.0]]"
1297,"San Andreas (Cholame) rev, Subsection 10","[[-120.26086, 35.71193, 0.0], [-120.30005, 35.75198, 0.0]]"
2663,"San Andreas (Parkfield), Subsection 0","[[-120.30005, 35.75198, 0.0], [-120.33256, 35.78335, 0.0]]"
1294,"San Andreas (Parkfield), Subsection 1","[[-120.33256, 35.78335, 0.0], [-120.3651, 35.8147, 0.0]]"
1849,"San Andreas (Parkfield), Subsection 2","[[-120.3651, 35.8147, 0.0], [-120.39767, 35.84605, 0.0]]"
2412,"San Andreas (Parkfield), Subsection 3","[[-120.39767, 35.84605, 0.0], [-120.43026, 35.87738, 0.0]]"
1818,"San Andreas (Parkfield), Subsection 4","[[-120.43026, 35.87738, 0.0], [-120.46288, 35.90871, 0.0]]"
2447,"San Andreas (Parkfield), Subsection 5","[[-120.46288, 35.90871, 0.0], [-120.49552, 35.94003, 0.0]]"
781,"San Andreas (Parkfield), Subsection 6","[[-120.49552, 35.94003, 0.0], [-120.52819, 35.97134, 0.0]]"
2016,"San Andreas (Parkfield), Subsection 7","[[-120.52819, 35.97134, 0.0], [-120.56089, 36.00265, 0.0]]"
2195,"San Andreas (Creeping Section) 2011 CFM, Subsection 0","[[-120.56133, 36.00264, 0.0], [-120.60302, 36.04217, 0.0]]"
2149,"San Andreas (Creeping Section) 2011 CFM, Subsection 1","[[-120.60302, 36.04217, 0.0], [-120.64475, 36.08169, 0.0]]"
371,"San Andreas (Creeping Section) 2011 CFM, Subsection 2","[[-120.64475, 36.08169, 0.0], [-120.66954, 36.10514, 0.0], [-120.68778, 36.12027, 0.0]]"
370,"San Andreas (Creeping Section) 2011 CFM, Subsection 3","[[-120.68778, 36.12027, 0.0], [-120.73269, 36.15747, 0.0]]"
1544,"San Andreas (Creeping Section) 2011 CFM, Subsection 4","[[-120.73269, 36.15747, 0.0], [-120.73885, 36.16257, 0.0], [-120.77597, 36.19592, 0.0]]"
673,"San Andreas (Creeping Section) 2011 CFM, Subsection 5","[[-120.77597, 36.19592, 0.0], [-120.81903, 36.23456, 0.0]]"
2520,"San Andreas (Creeping Section) 2011 CFM, Subsection 6","[[-120.81903, 36.23456, 0.0], [-120.82808, 36.24267, 0.0], [-120.85981, 36.27477, 0.0]]"
1842,"San Andreas (Creeping Section) 2011 CFM, Subsection 7","[[-120.85981, 36.27477, 0.0], [-120.88991, 36.30519, 0.0], [-120.90006, 36.31535, 0.0]]"
2021,"San Andreas (Creeping Section) 2011 CFM, Subsection 8","[[-120.90006, 36.31535, 0.0], [-120.9405, 36.35583, 0.0]]"
943,"San Andreas (Creeping Section) 2011 CFM, Subsection 9","[[-120.9405, 36.35583, 0.0], [-120.98098, 36.39629, 0.0]]"
2041,"San Andreas (Creeping Section) 2011 CFM, Subsection 10","[[-120.98098, 36.39629, 0.0], [-121.00091, 36.41619, 0.0], [-121.02158, 36.43669, 0.0]]"
977,"San Andreas (Creeping Section) 2011 CFM, Subsection 11","[[-121.02158, 36.43669, 0.0], [-121.0623, 36.47703, 0.0]]"
1227,"San Andreas (Creeping Section) 2011 CFM, Subsection 12","[[-121.0623, 36.47703, 0.0], [-121.08632, 36.50079, 0.0], [-121.10374, 36.51689, 0.0]]"
1357,"San Andreas (Creeping Section) 2011 CFM, Subsection 13","[[-121.10374, 36.51689, 0.0], [-121.14618, 36.5561, 0.0]]"
1068,"San Andreas (Creeping Section) 2011 CFM, Subsection 14","[[-121.14618, 36.5561, 0.0], [-121.16568, 36.57409, 0.0], [-121.18993, 36.59435, 0.0]]"
612,"San Andreas (Creeping Section) 2011 CFM, Subsection 15","[[-121.18993, 36.59435, 0.0], [-121.20964, 36.61081, 0.0], [-121.23458, 36.63197, 0.0]]"
1111,"San Andreas (Creeping Section) 2011 CFM, Subsection 16","[[-121.23458, 36.63197, 0.0], [-121.2791, 36.66971, 0.0]]"
2460,"San Andreas (Creeping Section) 2011 CFM, Subsection 17","[[-121.2791, 36.66971, 0.0], [-121.30703, 36.69336, 0.0], [-121.32491, 36.70641, 0.0]]"
1121,"San Andreas (Creeping Section) 2011 CFM, Subsection 18","[[-121.32491, 36.70641, 0.0], [-121.37001, 36.7393, 0.0], [-121.37307, 36.74117, 0.0]]"
403,"San Andreas (Creeping Section) 2011 CFM, Subsection 19","[[-121.37307, 36.74117, 0.0], [-121.42469, 36.77262, 0.0]]"
129,"San Andreas (Creeping Section) 2011 CFM, Subsection 20","[[-121.42469, 36.77262, 0.0], [-121.47635, 36.80405, 0.0]]"
1024,"Zayante-Vergeles, Subsection 0","[[-121.46381, 36.79268, 0.0], [-121.52789, 36.80158, 0.0]]"
949,"Zayante-Vergeles, Subsection 1","[[-121.52789, 36.80158, 0.0], [-121.59199, 36.81045, 0.0]]"
204,"Zayante-Vergeles, Subsection 2","[[-121.59199, 36.81045, 0.0], [-121.60956, 36.81287, 0.0], [-121.64009, 36.84172, 0.0]]"
2419,"Zayante-Vergeles, Subsection 3","[[-121.64009, 36.84172, 0.0], [-121.68218, 36.88145, 0.0]]"
2487,"Zayante-Vergeles, Subsection 4","[[-121.68218, 36.88145, 0.0], [-121.72432, 36.92116, 0.0]]"
2613,"Zayante-Vergeles, Subsection 5","[[-121.72432, 36.92116, 0.0], [-121.74194, 36.93775, 0.0], [-121.77129, 36.95695, 0.0]]"
2547,"Zayante-Vergeles, Subsection 6","[[-121.77129, 36.95695, 0.0], [-121.82175, 36.98993, 0.0]]"
238,"Zayante-Vergeles, Subsection 7","[[-121.82175, 36.98993, 0.0], [-121.87226, 37.02288, 0.0]]"
1930,"Zayante-Vergeles, Subsection 8","[[-121.87226, 37.02288, 0.0], [-121.92281, 37.05581, 0.0]]"
1394,"Zayante-Vergeles, Subsection 9","[[-121.92281, 37.05581, 0.0], [-121.9734, 37.08872, 0.0]]"
1015,"Butano 2011 CFM, Subsection 0","[[-121.92809, 37.12111, 0.0], [-121.98754, 37.14236, 0.0]]"
2101,"Butano 2011 CFM, Subsection 1","[[-121.98754, 37.14236, 0.0], [-121.99243, 37.1441, 0.0], [-122.04008, 37.17293, 0.0]]"
