SourceIndex,Longitude,Latitude,Depth
355085,-117.2,31.6,0
355086,-117.1,31.6,0
355087,-117,31.6,0
355088,-116.9,31.6,0
355089,-116.8,31.6,0
355090,-116.7,31.6,0
355091,-116.6,31.6,0
355092,-116.5,31.6,0
355093,-116.4,31.6,0
355094,-116.3,31.6,0
355095,-116.2,31.6,0
355096,-116.1,31.6,0
355097,-116,31.6,0
355098,-115.9,31.6,0
355099,-115.8,31.6,0
355100,-117.5,31.7,0
355101,-117.4,31.7,0
355102,-117.3,31.7,0
355103,-117.2,31.7,0
355104,-117.1,31.7,0
355105,-117,31.7,0
355106,-116.9,31.7,0
355107,-116.8,31.7,0
355108,-116.7,31.7,0
355109,-116.6,31.7,0
355110,-116.5,31.7,0
355111,-116.4,31.7,0
355112,-116.3,31.7,0
355113,-116.2,31.7,0
355114,-116.1,31.7,0
355115,-116,31.7,0
355116,-115.9,31.7,0
355117,-115.8,31.7,0
355118,-115.7,31.7,0
355119,-115.6,31.7,0
355120,-115.5,31.7,0
355121,-115.4,31.7,0
355122,-115.3,31.7,0
355123,-115.2,31.7,0
355124,-115.1,31.7,0
355125,-115,31.7,0
355126,-114.9,31.7,0
355127,-114.8,31.7,0
355128,-114.7,31.7,0
355129,-114.6,31.7,0
355130,-117.7,31.8,0
355131,-117.6,31.8,0
355132,-117.5,31.8,0
355133,-117.4,31.8,0
355134,-117.3,31.8,0
355135,-117.2,31.8,0
355136,-117.1,31.8,0
355137,-117,31.8,0
355138,-116.9,31.8,0
355139,-116.8,31.8,0
355140,-116.7,31.8,0
355141,-116.6,31.8,0
355142,-116.5,31.8,0
355143,-116.4,31.8,0
355144,-116.3,31.8,0
355145,-116.2,31.8,0
355146,-116.1,31.8,0
355147,-116,31.8,0
355148,-115.9,31.8,0
355149,-115.8,31.8,0
355150,-115.7,31.8,0
355151,-115.6,31.8,0
355152,-115.5,31.8,0
355153,-115.4,31.8,0
355154,-115.3,31.8,0
355155,-115.2,31.8,0
355156,-115.1,31.8,0
355157,-115,31.8,0
355158,-114.9,31.8,0
355159,-114.8,31.8,0
355160,-114.7,31.8,0
355161,-114.6,31.8,0
355162,-114.5,31.8,0
355163,-114.4,31.8,0
355164,-117.9,31.9,0
355165,-117.8,31.9,0
355166,-117.7,31.9,0
355167,-117.6,31.9,0
355168,-117.5,31.9,0
355169,-117.4,31.9,0
355170,-117.3,31.9,0
355171,-117.2,31.9,0
355172,-117.1,31.9,0
355173,-117,31.9,0
355174,-116.9,31.9,0
355175,-116.8,31.9,0
355176,-116.7,31.9,0
355177,-116.6,31.9,0
355178,-116.5,31.9,0
355179,-116.4,31.9,0
355180,-116.3,31.9,0
355181,-116.2,31.9,0
355182,-116.1,31.9,0
355183,-116,31.9,0
355184,-115.9,31.9,0
355185,-115.8,31.9,0
355186,-115.7,31.9,0
355187,-115.6,31.9,0
355188,-115.5,31.9,0
355189,-115.4,31.9,0
355190,-115.3,31.9,0
355191,-115.2,31.9,0
355192,-115.1,31.9,0
355193,-115,31.9,0
355194,-114.9,31.9,0
355195,-114.8,31.9,0
355196,-114.7,31.9,0
355197,-114.6,31.9,0
355198,-114.5,31.9,0
355199,-114.4,31.9,0
355200,-114.3,31.9,0
355201,-114.2,31.9,0
355202,-117.9,32,0
355203,-117.8,32,0
355204,-117.7,32,0
355205,-117.6,32,0
355206,-117.5,32,0
355207,-117.4,32,0
355208,-117.3,32,0
355209,-117.2,32,0
355210,-117.1,32,0
355211,-117,32,0
355212,-116.9,32,0
355213,-116.8,32,0
355214,-116.7,32,0
355215,-116.6,32,0
355216,-116.5,32,0
355217,-116.4,32,0
355218,-116.3,32,0
355219,-116.2,32,0
355220,-116.1,32,0
355221,-116,32,0
355222,-115.9,32,0
355223,-115.8,32,0
355224,-115.7,32,0
355225,-115.6,32,0
355226,-115.5,32,0
355227,-115.4,32,0
355228,-115.3,32,0
355229,-115.2,32,0
355230,-115.1,32,0
355231,-115,32,0
355232,-114.9,32,0
355233,-114.8,32,0
355234,-114.7,32,0
355235,-114.6,32,0
355236,-114.5,32,0
355237,-114.4,32,0
355238,-114.3,32,0
355239,-114.2,32,0
355240,-114.1,32,0
355241,-114,32,0
355242,-118,32.1,0
355243,-117.9,32.1,0
355244,-117.8,32.1,0
355245,-117.7,32.1,0
355246,-117.6,32.1,0
355247,-117.5,32.1,0
355248,-117.4,32.1,0
355249,-117.3,32.1,0
355250,-117.2,32.1,0
355251,-117.1,32.1,0
355252,-117,32.1,0
355253,-116.9,32.1,0
355254,-116.8,32.1,0
355255,-116.7,32.1,0
355256,-116.6,32.1,0
355257,-116.5,32.1,0
355258,-116.4,32.1,0
355259,-116.3,32.1,0
355260,-116.2,32.1,0
355261,-116.1,32.1,0
355262,-116,32.1,0
355263,-115.9,32.1,0
355264,-115.8,32.1,0
355265,-115.7,32.1,0
355266,-115.6,32.1,0
355267,-115.5,32.1,0
355268,-115.4,32.1,0
355269,-115.3,32.1,0
355270,-115.2,32.1,0
355271,-115.1,32.1,0
355272,-115,32.1,0
355273,-114.9,32.1,0
355274,-114.8,32.1,0
355275,-114.7,32.1,0
355276,-114.6,32.1,0
355277,-114.5,32.1,0
355278,-114.4,32.1,0
355279,-114.3,32.1,0
355280,-114.2,32.1,0
