SegmentID,SegmentName,SegmentTrace
1129,"Mission (connected) 2011 CFM, Subsection 5","[[-121.94413, 37.56344, 0.0], [-121.92611, 37.548, 0.0]]"
406,"Mission (connected) 2011 CFM, Subsection 6","[[-121.92611, 37.548, 0.0], [-121.9081, 37.53256, 0.0]]"
2858,"Silver Creek 2011 CFM, Subsection 8","[[-121.95002, 37.45464, 0.0], [-121.962, 37.502, 0.0]]"
2853,"Silver Creek 2011 CFM, Subsection 7","[[-121.93257, 37.40896, 0.0], [-121.94148, 37.42088, 0.0], [-121.95002, 37.45464, 0.0]]"
2672,"Silver Creek 2011 CFM, Subsection 6","[[-121.90154, 37.36743, 0.0], [-121.93257, 37.40896, 0.0]]"
1119,"Silver Creek 2011 CFM, Subsection 5","[[-121.85501, 37.33674, 0.0], [-121.89906, 37.36411, 0.0], [-121.90154, 37.36743, 0.0]]"
2131,"Silver Creek 2011 CFM, Subsection 4","[[-121.80717, 37.30698, 0.0], [-121.85501, 37.33674, 0.0]]"
192,"Silver Creek 2011 CFM, Subsection 3","[[-121.75937, 37.2772, 0.0], [-121.80717, 37.30698, 0.0]]"
961,"Silver Creek 2011 CFM, Subsection 2","[[-121.72149, 37.23982, 0.0], [-121.7505, 37.27167, 0.0], [-121.75937, 37.2772, 0.0]]"
1955,"Silver Creek 2011 CFM, Subsection 1","[[-121.68114, 37.20428, 0.0], [-121.70093, 37.21722, 0.0], [-121.72149, 37.23982, 0.0]]"
889,"Silver Creek 2011 CFM, Subsection 0","[[-121.6343, 37.17361, 0.0], [-121.68114, 37.20428, 0.0]]"
2035,"Calaveras (Central) 2011 CFM, Subsection 3","[[-121.60717, 37.17663, 0.0], [-121.63984, 37.21572, 0.0]]"
1744,"Calaveras (Central) 2011 CFM, Subsection 2","[[-121.56911, 37.14082, 0.0], [-121.60502, 37.17406, 0.0], [-121.60717, 37.17663, 0.0]]"
2336,"Calaveras (Central) 2011 CFM, Subsection 1","[[-121.54156, 37.09971, 0.0], [-121.55998, 37.13236, 0.0], [-121.56911, 37.14082, 0.0]]"
398,"Calaveras (Central) 2011 CFM, Subsection 0","[[-121.51742, 37.05689, 0.0], [-121.54156, 37.09971, 0.0]]"
1180,"Calaveras (So) 2011 CFM, Subsection 5","[[-121.494, 37.02115, 0.0], [-121.51742, 37.05609, 0.0]]"
1214,"Calaveras (So) 2011 CFM, Subsection 4","[[-121.47061, 36.9862, 0.0], [-121.494, 37.02115, 0.0]]"
37,"Calaveras (So) 2011 CFM, Subsection 3","[[-121.44956, 36.9504, 0.0], [-121.45737, 36.96641, 0.0], [-121.47061, 36.9862, 0.0]]"
