LON,LAT
-124.5,40.35
-124.5,40.4
-124.45,40.4
-124.45,40.35
-124.5,40.45
-124.45,40.45
-124.5,40.5
-124.45,40.5
-124.5,40.55
-124.45,40.55
-124.45,40.2
-124.45,40.25
-124.4,40.25
-124.4,40.2
-124.45,40.3
-124.4,40.3
-124.4,40.35
-124.4,40.4
-124.4,40.45
-124.4,40.5
-124.4,40.55
-124.45,40.6
-124.4,40.6
-124.45,40.65
-124.4,40.65
-124.45,41.75
-124.45,41.8
-124.4,41.8
-124.4,41.75
-124.45,41.85
-124.4,41.85
-124.45,41.9
-124.4,41.9
-124.4,40.15
-124.35,40.2
-124.35,40.15
-124.35,40.25
-124.35,40.3
-124.35,40.35
-124.35,40.4
-124.35,40.45
-124.35,40.5
-124.35,40.55
-124.35,40.6
-124.35,40.65
-124.4,40.7
-124.35,40.7
-124.4,41.7
-124.35,41.75
-124.35,41.7
-124.35,41.8
-124.35,41.85
-124.35,41.9
-124.35,40.1
-124.3,40.15
-124.3,40.1
-124.3,40.2
-124.3,40.25
-124.3,40.3
-124.3,40.35
-124.3,40.4
-124.3,40.45
-124.3,40.5
-124.3,40.55
-124.3,40.6
-124.3,40.65
-124.3,40.7
-124.35,40.75
-124.3,40.75
-124.35,40.8
-124.3,40.8
-124.3,41.75
-124.3,41.7
-124.3,41.8
-124.3,41.85
-124.3,41.9
-124.35,41.95
-124.35,42.0
-124.3,42.0
-124.3,41.95
-124.25,40.15
-124.25,40.1
-124.25,40.2
-124.25,40.25
-124.25,40.3
-124.25,40.35
-124.25,40.4
-124.25,40.45
-124.25,40.5
-124.25,40.55
-124.25,40.6
-124.25,40.65
-124.25,40.7
-124.25,40.75
-124.25,40.8
-124.3,40.85
-124.25,40.85
-124.3,41.1
-124.3,41.15
-124.25,41.15
-124.25,41.1
-124.3,41.65
-124.25,41.7
-124.25,41.65
-124.25,41.75
-124.25,41.8
-124.25,41.85
-124.25,41.9
-124.25,41.95
-124.25,42.0
-124.25,40.05
-124.2,40.1
-124.2,40.05
-124.2,40.15
-124.2,40.2
-124.2,40.25
-124.2,40.3
-124.2,40.35
-124.2,40.4
-124.2,40.45
-124.2,40.5
-124.2,40.55
-124.2,40.6
-124.2,40.65
-124.2,40.7
-124.2,40.75
-124.2,40.8
-124.2,40.85
-124.25,40.9
-124.2,40.9
-124.25,40.95
-124.2,40.95
-124.25,41.0
-124.25,41.05
-124.2,41.05
-124.2,41.0
-124.2,41.1
-124.2,41.15
-124.25,41.2
-124.2,41.2
-124.25,41.25
-124.25,41.3
-124.2,41.3
-124.2,41.25
-124.25,41.35
-124.2,41.35
-124.25,41.4
-124.2,41.4
-124.25,41.6
-124.2,41.65
-124.2,41.6
-124.2,41.7
-124.2,41.75
-124.2,41.8
-124.2,41.85
-124.2,41.9
-124.2,41.95
-124.2,42.0
-124.15,40.1
-124.15,40.05
-124.15,40.15
