LON,LAT
-123.02,38.51
-123.02,38.52
-123.01,38.52
-123.01,38.51
-123.02,38.53
-123.01,38.53
-123.02,38.54
-123.01,38.54
-123.02,38.55
-123.01,38.55
-123.01,38.49
-123.01,38.5
-123.0,38.5
-123.0,38.49
-123.0,38.51
-123.0,38.52
-123.0,38.53
-123.0,38.54
-123.0,38.55
-123.01,38.56
-123.0,38.56
-123.0,38.47
-123.0,38.48
-122.99,38.48
-122.99,38.47
-122.99,38.49
-122.99,38.5
-122.99,38.51
-122.99,38.52
-122.99,38.53
-122.99,38.54
-122.99,38.55
-122.99,38.56
-123.0,38.57
-122.99,38.57
-122.99,38.45
-122.99,38.46
-122.98,38.46
-122.98,38.45
-122.98,38.47
-122.98,38.48
-122.98,38.49
-122.98,38.5
-122.98,38.51
-122.98,38.52
-122.98,38.53
-122.98,38.54
-122.98,38.55
-122.98,38.56
-122.98,38.57
-122.99,38.58
-122.98,38.58
-122.98,38.44
-122.97,38.45
-122.97,38.44
-122.97,38.46
-122.97,38.47
-122.97,38.48
-122.97,38.49
-122.97,38.5
-122.97,38.51
-122.97,38.52
-122.97,38.53
-122.97,38.54
-122.97,38.55
-122.97,38.56
-122.97,38.57
-122.97,38.58
-122.98,38.59
-122.97,38.59
-122.97,38.42
-122.97,38.43
-122.96,38.43
-122.96,38.42
-122.96,38.44
-122.96,38.45
-122.96,38.46
-122.96,38.47
-122.96,38.48
-122.96,38.49
-122.96,38.5
-122.96,38.51
-122.96,38.52
-122.96,38.53
-122.96,38.54
-122.96,38.55
-122.96,38.56
-122.96,38.57
-122.96,38.58
-122.96,38.59
-122.97,38.6
-122.96,38.6
-122.96,38.4
-122.96,38.41
-122.95,38.41
-122.95,38.4
-122.95,38.42
-122.95,38.43
-122.95,38.44
-122.95,38.45
-122.95,38.46
-122.95,38.47
-122.95,38.48
-122.95,38.49
-122.95,38.5
-122.95,38.51
-122.95,38.52
-122.95,38.53
-122.95,38.54
-122.95,38.55
-122.95,38.56
-122.95,38.57
-122.95,38.58
-122.95,38.59
-122.95,38.6
-122.96,38.61
-122.95,38.61
-122.95,38.38
-122.95,38.39
-122.94,38.39
-122.94,38.38
-122.94,38.4
-122.94,38.41
-122.94,38.42
-122.94,38.43
-122.94,38.44
-122.94,38.45
-122.94,38.46
-122.94,38.47
-122.94,38.48
-122.94,38.49
-122.94,38.5
-122.94,38.51
-122.94,38.52
-122.94,38.53
-122.94,38.54
-122.94,38.55
-122.94,38.56
-122.94,38.57
-122.94,38.58
-122.94,38.59
-122.94,38.6
-122.94,38.61
-122.95,38.62
-122.94,38.62
-122.94,38.37
-122.93,38.38
-122.93,38.37
-122.93,38.39
-122.93,38.4
-122.93,38.41
-122.93,38.42
-122.93,38.43
-122.93,38.44
-122.93,38.45
-122.93,38.46
-122.93,38.47
-122.93,38.48
-122.93,38.49
-122.93,38.5
-122.93,38.51
-122.93,38.52
-122.93,38.53
-122.93,38.54
-122.93,38.55
-122.93,38.56
-122.93,38.57
-122.93,38.58
-122.93,38.59
-122.93,38.6
-122.93,38.61
-122.93,38.62
-122.94,38.63
-122.93,38.63
-122.94,38.64
-122.93,38.64
-122.93,38.35
-122.93,38.36
-122.92,38.36
-122.92,38.35
-122.92,38.37
-122.92,38.38
-122.92,38.39
-122.92,38.4
-122.92,38.41
-122.92,38.42
-122.92,38.43
-122.92,38.44
-122.92,38.45
-122.92,38.46
-122.92,38.47
-122.92,38.48
-122.92,38.49
-122.92,38.5
-122.92,38.51
-122.92,38.52
-122.92,38.53
-122.92,38.54
-122.92,38.55
-122.92,38.56
-122.92,38.57
-122.92,38.58
-122.92,38.59
-122.92,38.6
-122.92,38.61
-122.92,38.62
-122.92,38.63
-122.92,38.64
-122.93,38.65
-122.92,38.65
-122.92,38.33
-122.92,38.34
-122.91,38.34
-122.91,38.33
-122.91,38.35
-122.91,38.36
-122.91,38.37
-122.91,38.38
-122.91,38.39
-122.91,38.4
-122.91,38.41
-122.91,38.42
-122.91,38.43
-122.91,38.44
-122.91,38.45
-122.91,38.46
-122.91,38.47
-122.91,38.48
-122.91,38.49
-122.91,38.5
-122.91,38.51
-122.91,38.52
-122.91,38.53
-122.91,38.54
-122.91,38.55
-122.91,38.56
-122.91,38.57
-122.91,38.58
-122.91,38.59
-122.91,38.6
-122.91,38.61
-122.91,38.62
-122.91,38.63
-122.91,38.64
-122.91,38.65
-122.92,38.66
-122.91,38.66
-122.91,38.31
-122.91,38.32
-122.9,38.32
-122.9,38.31
-122.9,38.33
-122.9,38.34
-122.9,38.35
-122.9,38.36
-122.9,38.37
-122.9,38.38
-122.9,38.39
-122.9,38.4
-122.9,38.41
-122.9,38.42
-122.9,38.43
-122.9,38.44
-122.9,38.45
-122.9,38.46
-122.9,38.47
-122.9,38.48
-122.9,38.49
-122.9,38.5
-122.9,38.51
-122.9,38.52
-122.9,38.53
-122.9,38.54
-122.9,38.55
-122.9,38.56
-122.9,38.57
-122.9,38.58
-122.9,38.59
-122.9,38.6
-122.9,38.61
-122.9,38.62
-122.9,38.63
-122.9,38.64
-122.9,38.65
-122.9,38.66
-122.91,38.67
-122.9,38.67
-122.9,38.3
-122.89,38.31
-122.89,38.3
-122.89,38.32
-122.89,38.33
-122.89,38.34
-122.89,38.35
-122.89,38.36
-122.89,38.37
-122.89,38.38
-122.89,38.39
-122.89,38.4
-122.89,38.41
-122.89,38.42
-122.89,38.43
-122.89,38.44
-122.89,38.45
-122.89,38.46
-122.89,38.47
-122.89,38.48
-122.89,38.49
-122.89,38.5
-122.89,38.51
-122.89,38.52
-122.89,38.53
-122.89,38.54
-122.89,38.55
-122.89,38.56
-122.89,38.57
-122.89,38.58
-122.89,38.59
-122.89,38.6
-122.89,38.61
-122.89,38.62
-122.89,38.63
-122.89,38.64
-122.89,38.65
-122.89,38.66
-122.89,38.67
-122.9,38.68
-122.89,38.68
-122.89,38.28
-122.89,38.29
-122.88,38.29
-122.88,38.28
-122.88,38.3
-122.88,38.31
-122.88,38.32
-122.88,38.33
-122.88,38.34
-122.88,38.35
-122.88,38.36
-122.88,38.37
-122.88,38.38
-122.88,38.39
-122.88,38.4
-122.88,38.41
-122.88,38.42
-122.88,38.43
-122.88,38.44
-122.88,38.45
-122.88,38.46
-122.88,38.47
-122.88,38.48
-122.88,38.49
-122.88,38.5
-122.88,38.51
-122.88,38.52
-122.88,38.53
-122.88,38.54
-122.88,38.55
-122.88,38.56
-122.88,38.57
-122.88,38.58
-122.88,38.59
-122.88,38.6
-122.88,38.61
-122.88,38.62
-122.88,38.63
-122.88,38.64
-122.88,38.65
-122.88,38.66
-122.88,38.67
-122.88,38.68
-122.89,38.69
-122.88,38.69
-122.88,38.26
-122.88,38.27
-122.87,38.27
-122.87,38.26
-122.87,38.28
-122.87,38.29
-122.87,38.3
-122.87,38.31
-122.87,38.32
-122.87,38.33
-122.87,38.34
-122.87,38.35
-122.87,38.36
-122.87,38.37
-122.87,38.38
-122.87,38.39
-122.87,38.4
-122.87,38.41
-122.87,38.42
-122.87,38.43
-122.87,38.44
-122.87,38.45
-122.87,38.46
-122.87,38.47
-122.87,38.48
-122.87,38.49
-122.87,38.5
-122.87,38.51
-122.87,38.52
-122.87,38.53
-122.87,38.54
-122.87,38.55
-122.87,38.56
-122.87,38.57
-122.87,38.58
-122.87,38.59
-122.87,38.6
-122.87,38.61
-122.87,38.62
-122.87,38.63
-122.87,38.64
-122.87,38.65
-122.87,38.66
-122.87,38.67
-122.87,38.68
-122.87,38.69
-122.88,38.7
-122.87,38.7
-122.87,38.24
-122.87,38.25
-122.86,38.25
-122.86,38.24
-122.86,38.26
-122.86,38.27
-122.86,38.28
-122.86,38.29
-122.86,38.3
-122.86,38.31
-122.86,38.32
-122.86,38.33
-122.86,38.34
-122.86,38.35
-122.86,38.36
-122.86,38.37
-122.86,38.38
-122.86,38.39
-122.86,38.4
-122.86,38.41
-122.86,38.42
-122.86,38.43
-122.86,38.44
-122.86,38.45
-122.86,38.46
-122.86,38.47
-122.86,38.48
-122.86,38.49
-122.86,38.5
-122.86,38.51
-122.86,38.52
-122.86,38.53
-122.86,38.54
-122.86,38.55
-122.86,38.56
-122.86,38.57
-122.86,38.58
-122.86,38.59
-122.86,38.6
-122.86,38.61
-122.86,38.62
-122.86,38.63
-122.86,38.64
-122.86,38.65
-122.86,38.66
-122.86,38.67
-122.86,38.68
-122.86,38.69
-122.86,38.7
-122.87,38.71
-122.86,38.71
-122.86,38.23
-122.85,38.24
-122.85,38.23
-122.85,38.25
-122.85,38.26
-122.85,38.27
-122.85,38.28
-122.85,38.29
-122.85,38.3
-122.85,38.31
-122.85,38.32
-122.85,38.33
-122.85,38.34
-122.85,38.35
-122.85,38.36
-122.85,38.37
-122.85,38.38
-122.85,38.39
-122.85,38.4
-122.85,38.41
-122.85,38.42
-122.85,38.43
-122.85,38.44
-122.85,38.45
-122.85,38.46
-122.85,38.47
-122.85,38.48
-122.85,38.49
-122.85,38.5
