LON,LAT
-119.96,34.42
-119.96,34.43
-119.95,34.43
-119.95,34.42
-119.96,34.44
-119.95,34.44
-119.96,34.45
-119.95,34.45
-119.95,34.41
-119.94,34.42
-119.94,34.41
-119.94,34.43
-119.94,34.44
-119.94,34.45
-119.93,34.42
-119.93,34.41
-119.93,34.43
-119.93,34.44
-119.93,34.45
-119.94,34.46
-119.93,34.46
-119.93,34.4
-119.92,34.41
-119.92,34.4
-119.92,34.42
-119.92,34.43
-119.92,34.44
-119.92,34.45
-119.92,34.46
-119.91,34.41
-119.91,34.4
-119.91,34.42
-119.91,34.43
-119.91,34.44
-119.91,34.45
-119.91,34.46
-119.92,34.47
-119.91,34.47
-119.91,34.39
-119.9,34.4
-119.9,34.39
-119.9,34.41
-119.9,34.42
-119.9,34.43
-119.9,34.44
-119.9,34.45
-119.9,34.46
-119.9,34.47
-119.89,34.4
-119.89,34.39
-119.89,34.41
-119.89,34.42
-119.89,34.43
-119.89,34.44
-119.89,34.45
-119.89,34.46
-119.89,34.47
-119.9,34.48
-119.89,34.48
-119.89,34.38
-119.88,34.39
-119.88,34.38
-119.88,34.4
-119.88,34.41
-119.88,34.42
-119.88,34.43
-119.88,34.44
-119.88,34.45
-119.88,34.46
-119.88,34.47
-119.88,34.48
-119.87,34.39
-119.87,34.38
-119.87,34.4
-119.87,34.41
-119.87,34.42
-119.87,34.43
-119.87,34.44
-119.87,34.45
-119.87,34.46
-119.87,34.47
-119.87,34.48
-119.88,34.49
-119.87,34.49
-119.87,34.37
-119.86,34.38
-119.86,34.37
-119.86,34.39
-119.86,34.4
-119.86,34.41
-119.86,34.42
-119.86,34.43
-119.86,34.44
-119.86,34.45
-119.86,34.46
-119.86,34.47
-119.86,34.48
-119.86,34.49
-119.85,34.38
-119.85,34.37
-119.85,34.39
-119.85,34.4
-119.85,34.41
-119.85,34.42
-119.85,34.43
-119.85,34.44
-119.85,34.45
-119.85,34.46
-119.85,34.47
-119.85,34.48
-119.85,34.49
-119.86,34.5
-119.85,34.5
-119.85,34.36
-119.84,34.37
-119.84,34.36
-119.84,34.38
-119.84,34.39
-119.84,34.4
-119.84,34.41
-119.84,34.42
-119.84,34.43
-119.84,34.44
-119.84,34.45
-119.84,34.46
-119.84,34.47
-119.84,34.48
-119.84,34.49
-119.84,34.5
-119.83,34.37
-119.83,34.36
-119.83,34.38
-119.83,34.39
-119.83,34.4
-119.83,34.41
-119.83,34.42
-119.83,34.43
-119.83,34.44
-119.83,34.45
-119.83,34.46
-119.83,34.47
-119.83,34.48
-119.83,34.49
-119.83,34.5
-119.84,34.51
-119.83,34.51
-119.83,34.35
-119.82,34.36
-119.82,34.35
-119.82,34.37
-119.82,34.38
-119.82,34.39
-119.82,34.4
-119.82,34.41
-119.82,34.42
-119.82,34.43
-119.82,34.44
-119.82,34.45
-119.82,34.46
-119.82,34.47
-119.82,34.48
-119.82,34.49
-119.82,34.5
-119.82,34.51
-119.81,34.36
-119.81,34.35
-119.81,34.37
-119.81,34.38
-119.81,34.39
-119.81,34.4
-119.81,34.41
-119.81,34.42
-119.81,34.43
-119.81,34.44
-119.81,34.45
-119.81,34.46
-119.81,34.47
-119.81,34.48
-119.81,34.49
-119.81,34.5
-119.81,34.51
-119.82,34.52
-119.81,34.52
-119.81,34.34
-119.8,34.35
-119.8,34.34
-119.8,34.36
-119.8,34.37
-119.8,34.38
-119.8,34.39
-119.8,34.4
-119.8,34.41
-119.8,34.42
-119.8,34.43
-119.8,34.44
-119.8,34.45
-119.8,34.46
-119.8,34.47
-119.8,34.48
-119.8,34.49
-119.8,34.5
-119.8,34.51
-119.8,34.52
-119.79,34.35
-119.79,34.34
-119.79,34.36
-119.79,34.37
-119.79,34.38
-119.79,34.39
-119.79,34.4
-119.79,34.41
-119.79,34.42
-119.79,34.43
-119.79,34.44
-119.79,34.45
-119.79,34.46
-119.79,34.47
-119.79,34.48
-119.79,34.49
-119.79,34.5
-119.79,34.51
-119.79,34.52
-119.79,34.33
-119.78,34.34
-119.78,34.33
-119.78,34.35
-119.78,34.36
-119.78,34.37
-119.78,34.38
-119.78,34.39
-119.78,34.4
-119.78,34.41
-119.78,34.42
-119.78,34.43
-119.78,34.44
-119.78,34.45
-119.78,34.46
-119.78,34.47
-119.78,34.48
-119.78,34.49
-119.78,34.5
-119.78,34.51
-119.78,34.52
-119.79,34.53
-119.78,34.53
-119.77,34.34
-119.77,34.33
-119.77,34.35
-119.77,34.36
-119.77,34.37
-119.77,34.38
-119.77,34.39
-119.77,34.4
-119.77,34.41
-119.77,34.42
-119.77,34.43
-119.77,34.44
-119.77,34.45
-119.77,34.46
-119.77,34.47
-119.77,34.48
-119.77,34.49
-119.77,34.5
-119.77,34.51
-119.77,34.52
-119.77,34.53
-119.77,34.32
-119.76,34.33
-119.76,34.32
-119.76,34.34
-119.76,34.35
-119.76,34.36
-119.76,34.37
-119.76,34.38
-119.76,34.39
-119.76,34.4
-119.76,34.41
-119.76,34.42
-119.76,34.43
-119.76,34.44
-119.76,34.45
-119.76,34.46
-119.76,34.47
-119.76,34.48
-119.76,34.49
-119.76,34.5
-119.76,34.51
-119.76,34.52
-119.76,34.53
-119.77,34.54
-119.76,34.54
-119.76,34.31
-119.75,34.32
-119.75,34.31
-119.75,34.33
-119.75,34.34
-119.75,34.35
-119.75,34.36
-119.75,34.37
-119.75,34.38
-119.75,34.39
-119.75,34.4
-119.75,34.41
-119.75,34.42
-119.75,34.43
-119.75,34.44
-119.75,34.45
-119.75,34.46
-119.75,34.47
-119.75,34.48
-119.75,34.49
-119.75,34.5
-119.75,34.51
-119.75,34.52
-119.75,34.53
-119.75,34.54
-119.74,34.32
-119.74,34.31
-119.74,34.33
-119.74,34.34
-119.74,34.35
-119.74,34.36
-119.74,34.37
-119.74,34.38
-119.74,34.39
-119.74,34.4
-119.74,34.41
-119.74,34.42
-119.74,34.43
-119.74,34.44
-119.74,34.45
-119.74,34.46
-119.74,34.47
-119.74,34.48
-119.74,34.49
-119.74,34.5
-119.74,34.51
-119.74,34.52
-119.74,34.53
-119.74,34.54
-119.75,34.55
-119.74,34.55
-119.74,34.3
-119.73,34.31
-119.73,34.3
-119.73,34.32
-119.73,34.33
-119.73,34.34
-119.73,34.35
-119.73,34.36
-119.73,34.37
-119.73,34.38
-119.73,34.39
-119.73,34.4
-119.73,34.41
-119.73,34.42
-119.73,34.43
-119.73,34.44
-119.73,34.45
-119.73,34.46
-119.73,34.47
-119.73,34.48
-119.73,34.49
-119.73,34.5
-119.73,34.51
-119.73,34.52
-119.73,34.53
-119.73,34.54
-119.73,34.55
-119.72,34.31
-119.72,34.3
-119.72,34.32
-119.72,34.33
-119.72,34.34
-119.72,34.35
-119.72,34.36
-119.72,34.37
-119.72,34.38
-119.72,34.39
-119.72,34.4
-119.72,34.41
-119.72,34.42
-119.72,34.43
-119.72,34.44
-119.72,34.45
-119.72,34.46
-119.72,34.47
-119.72,34.48
-119.72,34.49
-119.72,34.5
-119.72,34.51
-119.72,34.52
-119.72,34.53
-119.72,34.54
-119.72,34.55
-119.73,34.56
-119.72,34.56
-119.72,34.29
-119.71,34.3
-119.71,34.29
-119.71,34.31
-119.71,34.32
-119.71,34.33
-119.71,34.34
-119.71,34.35
-119.71,34.36
-119.71,34.37
-119.71,34.38
-119.71,34.39
-119.71,34.4
-119.71,34.41
-119.71,34.42
-119.71,34.43
-119.71,34.44
-119.71,34.45
-119.71,34.46
-119.71,34.47
-119.71,34.48
-119.71,34.49
-119.71,34.5
-119.71,34.51
-119.71,34.52
-119.71,34.53
-119.71,34.54
-119.71,34.55
-119.71,34.56
-119.7,34.3
-119.7,34.29
-119.7,34.31
-119.7,34.32
-119.7,34.33
-119.7,34.34
-119.7,34.35
-119.7,34.36
-119.7,34.37
-119.7,34.38
-119.7,34.39
-119.7,34.4
-119.7,34.41
-119.7,34.42
-119.7,34.43
-119.7,34.44
-119.7,34.45
-119.7,34.46
