LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
-124.5,40.35,180,0.019323345,0.906666626,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.5,40.4,180,0.062352943,0.8775,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.4,180,0.044705883,0.86,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.35,180,0.02,0.875,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.5,40.45,180,0.04375,0.86,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.45,180,0.02,0.876,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.5,40.5,180,0.019801882,0.853333374,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.5,180,0.019704288,0.878666687,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.5,40.55,180,0.038690979,0.83875,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.55,180,0.019900448,0.85375,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.2,180,0.057776791,0.846666626,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.25,180,0.018517834,0.79625,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.25,180,0.037936295,0.828,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.2,180,0.01886739,0.861333313,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.3,180,0.019900448,0.89375,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.3,180,0.058867386,0.86,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.35,180,0.058867386,0.94125,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.4,376.5990726,0.019801882,0.893333374,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.45,468.4,0,0.890666626,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.5,336.7706322,0.019138344,0.91,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.55,180,0.019607651,0.870666626,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.6,180,0.03877877,0.84,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.6,180,0.019607651,0.870666626,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,40.65,180,0.038604004,0.8375,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.4,40.65,180,0.019607651,0.87125,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.45,41.75,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.45,41.8,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.4,41.8,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
