Unit Abbreviation,Unit Description,Friction Angle - Mean (degrees),Friction Angle - Median (degrees),Friction Angle - CoV (%),Friction Angle - Min (degrees),Friction Angle - Max (degrees),Cohesion - Mean (kPa),Cohesion - Median (kPa),Cohesion - CoV (%),Cohesion - Min (kPa),Cohesion - Max (kPa)
adf,Artificial dam fill (Latest Holocene),9999,9999,0,9999,9999,9999,9999,0,9999,9999
Qi,"Intertidal mud, including mud around the San Francisco Bay and similar mud around the Sacramento/San Joaquin delta and Humboldt Bay (Quaternary)",17,19,52,3,28,15.75,11.97,52,5.99,27.53
af/Qi,Artificial fill over intertidal mud around the San Francisco Bay and similar areas (Latest Holocene over Quaternary),9999,9999,0,9999,9999,9999,9999,0,9999,9999
Qal1,Quaternary (Holocene) alluvium in areas of very low slopes (less than 0.5%),23,23,46,8,44,32.46,23.94,82,1.96,82.83
Qal2,Quaternary (Holocene) alluvium in areas of moderate slopes (0.5 – 2.0%),23,23,46,8,44,32.46,23.94,82,1.96,82.83
Qal3,Quaternary (Holocene) alluvium in areas of steep slopes (>2%),23,23,46,8,44,32.46,23.94,82,1.96,82.83
Qoa,Quaternary (Pleistocene) alluvium,29,30,37,13,46,33.13,23.94,106,0.05,91.21
Qs,"Quaternary (Pleistocene) sand deposits, such as the Merritt Sand in the Oakland area",36,37,13,13,46,10.58,4.79,170,0.05,43.09
QT,"Quaternary to Tertiary (Pleistocene to Pliocene) alluvial deposits, such as the Saugus Formation of Southern California, the Paso Robles Formation of the central Coast Ranges, and the Santa Clara Formation of the San Francisco Bay area",26,26,42,28,42,43.33,35.91,79,0.05,100.55
Tsh,"Tertiary shale and siltstone units, such as the Repetto, Fernando, Puente, and Modelo Formations of the Los Angeles area",27,27,40,9,45,40.79,29.93,117,2.35,111.85
Tss,"Tertiary shale and siltstone units, such as the Topanga Formation in the Los Angeles area and the Butano Formation in the San Francisco area",27,27,40,9,45,40.79,29.93,117,2.35,111.85
Tv,Tertiary volcanic units including the Conejo Volcanics in the Santa Monica Mountains and the Leona Rhyolite in the East Bay Hills,30,29,46,15,44,25.57,27.53,65,5.46,43.52
sp,Serpentinite,28,26,42,13,48,48.17,35.91,97,2.39,149.63
Kss,Cretaceous sandstone of the Great Valley Sequence in the central Coast Ranges,24,24,42,8,40,36.48,28.73,85,1.1,101.6
KJf,"Franciscan complex rocks, including mélange, sandstone, shale, chert, and greenstone",26,25,39,12,43,43.24,29.21,113,2.92,106.77
crystalline,"Crystalline rocks, including Cretaceous granitic rocks, Jurassic metamorphic rocks, schist, and Precambrian gneiss",26,26,35,13,38,18.15,16.76,82,0.05,42.66
crystalin2,"Crystalline rocks including granites, granodiorites, and diorites in the Sierra Nevada",40,40,25,30,50,23.94,23.94,100,0.05,35.91
water,Water,9999,9999,0,9999,9999,9999,9999,0,9999,9999
