ac_ais-upper	d_ais_n_upper	ac_ais-lower	d_ais_n_lower
0.10116327	39.5694502	0.10116327	22.22485437
0.11907223	34.25545599	0.12093774	19.51963476
0.13847359	29.86970704	0.13735428	17.39271725
0.15638255	26.04547086	0.15265151	15.60970658
0.1746646	22.54768455	0.16981426	14.00948086
0.19294666	19.8031699	0.18212667	12.94122528
0.20675148	18.03121544	0.20302045	11.20327753
0.22167561	16.65629323	0.22204871	10.05477594
0.23622663	15.27566762	0.23734594	9.155092282
0.24928524	14.2129775	0.25338938	8.335910734
0.26234385	13.12920483	0.26980592	7.59002811
0.27726798	12.0409365	0.28584936	6.910885751
0.29256521	11.04287276	0.30525072	6.157855066
0.30562383	10.20082797	0.32315968	5.447456104
0.31830933	9.288075833	0.33845691	4.924391299
0.33360657	8.396234672	0.35151552	4.451551183
0.34741138	7.644954368	0.36830516	3.966497279
0.36009689	6.960897304	0.38322929	3.585633829
0.3727824	6.338047878	0.39889962	3.218053347
0.38696032	5.770930507	0.41568927	2.867404939
0.40337686	5.142113213	0.42986719	2.61083459
0.42128582	4.516212801	0.44479132	2.343185443
0.43807546	4.024113181	0.45971545	2.118192552
0.45710372	3.534295928	0.47687819	1.887388159
0.47501268	3.104099784	0.49217542	1.706161124
0.49329473	2.745996314	0.50747266	1.531254383
0.51344231	2.377221705	0.5238892	1.364404472
0.53247057	2.087864982	0.53918643	1.224532728
0.54888711	1.860365169	0.55485676	1.099000019
0.56828848	1.622181521	0.56978089	0.993474023
0.58395881	1.455883931	0.58470502	0.891628247
0.59850984	1.316089937	0.60522569	0.766340966
0.61268776	1.189718855	0.62014982	0.663424856
0.62649258	1.060083644	0.63470085	0.586889062
0.64328222	0.93104977	0.65037118	0.508072575
0.664176	0.794473852	0.6649222	0.443023744
0.68133874	0.692756833	0.67947323	0.386303117
0.69812839	0.608434149	0.69477046	0.336844502
0.71044079	0.546060653	0.70559045	0.30231296
0.71976837	0.493627902	0.71827596	0.257966598
0.73245388	0.430428431	0.73133457	0.221718361
0.74551249	0.378036448	0.7458856	0.187835146
0.76080973	0.322582189	0.76006352	0.159129997
0.77722627	0.271321412	0.77498765	0.134811584
0.78804626	0.243506933	0.78767316	0.116707012
0.79886625	0.216973713	0.80222418	0.098161375
0.81155176	0.18118377	0.8164021	0.077934934
0.82125244	0.159129997	0.8279683	0.064611947
0.83617657	0.126340792	0.84065381	0.052043613
0.85744345	0.091993473	0.85371242	0.042528986
0.87572551	0.070961453	0.86602483	0.034753829
0.88766481	0.05925632	0.87871034	0.028400128
0.89960412	0.050200711	0.89139584	0.023208009
